Date,Entfernung [m],Höhenunterschied [m],Zeit [s],Geschwindigkeit [m/s],Geschwindigkeit [km/h],Saison
2024-02-11,0.229294,-0.200000,2.000000,0.114647,0.412729,2023/2024
2024-02-11,0.228856,0.000000,2.000000,0.114428,0.411940,2023/2024
2024-02-11,14.801950,-1.600000,103.000000,0.143708,0.517350,2023/2024
2024-02-11,2.049336,-0.800000,1.000000,2.049336,7.377610,2023/2024
2024-02-11,2.135364,-1.000000,1.000000,2.135364,7.687310,2023/2024
2024-02-11,6.259143,-1.600000,3.000000,2.086381,7.510971,2023/2024
2024-02-11,4.548939,-1.400000,2.000000,2.274469,8.188090,2023/2024
2024-02-11,2.269746,-0.400000,1.000000,2.269746,8.171084,2023/2024
2024-02-11,4.498472,-0.600000,2.000000,2.249236,8.097250,2023/2024
2024-02-11,8.843800,-1.400000,3.000000,2.947933,10.612560,2023/2024
2024-02-11,2.660848,-0.400000,1.000000,2.660848,9.579053,2023/2024
2024-02-11,8.906100,-1.000000,3.000000,2.968700,10.687320,2023/2024
2024-02-11,11.756436,-1.400000,3.000000,3.918812,14.107723,2023/2024
2024-02-11,6.381387,-0.600000,4.000000,1.595347,5.743248,2023/2024
2024-02-11,1.466603,-0.200000,5.000000,0.293321,1.055954,2023/2024
2024-02-11,30.715330,-4.200000,28.000000,1.096976,3.949114,2023/2024
2024-02-11,1.711673,-1.200000,2.000000,0.855837,3.081012,2023/2024
2024-02-11,0.229294,-0.200000,2.000000,0.114647,0.412729,2023/2024
2024-02-11,0.127784,0.000000,2.000000,0.063892,0.230010,2023/2024
2024-02-11,16.257136,-2.400000,12.000000,1.354761,4.877141,2023/2024
2024-02-11,2.130045,-0.800000,2.000000,1.065022,3.834080,2023/2024
2024-02-11,1.912247,-0.800000,1.000000,1.912247,6.884090,2023/2024
2024-02-11,6.051452,-0.800000,3.000000,2.017151,7.261742,2023/2024
2024-02-11,3.150588,-0.400000,1.000000,3.150588,11.342117,2023/2024
2024-02-11,5.868301,-1.800000,3.000000,1.956100,7.041961,2023/2024
2024-02-11,4.686203,-0.600000,5.000000,0.937241,3.374066,2023/2024
2024-02-11,0.200000,0.200000,2.000000,0.100000,0.360000,2023/2024
2024-02-11,16.258186,-4.200000,23.000000,0.706878,2.544759,2023/2024
2024-02-11,1.105070,-0.600000,2.000000,0.552535,1.989126,2023/2024
2024-02-11,0.406447,-0.200000,3.000000,0.135482,0.487737,2023/2024
2024-02-11,9.890035,-1.800000,12.000000,0.824170,2.967011,2023/2024
2024-02-11,2.211761,-1.000000,1.000000,2.211761,7.962338,2023/2024
2024-02-11,1.708061,-0.400000,1.000000,1.708061,6.149018,2023/2024
2024-02-11,2.883986,-1.800000,2.000000,1.441993,5.191176,2023/2024
2024-02-11,3.830011,-0.600000,3.000000,1.276670,4.596014,2023/2024
2024-02-11,0.408517,-0.200000,4.000000,0.102129,0.367665,2023/2024
2024-02-11,10.766166,-2.400000,7.000000,1.538024,5.536886,2023/2024
2024-02-11,3.410256,-1.200000,3.000000,1.136752,4.092307,2023/2024
2024-02-11,2.610072,-0.400000,2.000000,1.305036,4.698129,2023/2024
2024-02-11,6.968579,-0.800000,4.000000,1.742145,6.271721,2023/2024
2024-02-11,1.276265,-0.400000,1.000000,1.276265,4.594553,2023/2024
2024-02-11,2.312484,-0.600000,1.000000,2.312484,8.324943,2023/2024
2024-02-11,1.603406,-0.600000,1.000000,1.603406,5.772260,2023/2024
2024-02-11,3.030992,-1.200000,2.000000,1.515496,5.455785,2023/2024
2024-02-11,1.061505,0.000000,1.000000,1.061505,3.821419,2023/2024
2024-02-11,5.259242,-0.800000,5.000000,1.051848,3.786654,2023/2024
2024-02-11,1.461102,-0.200000,1.000000,1.461102,5.259969,2023/2024
2024-02-11,1.045719,-0.200000,1.000000,1.045719,3.764589,2023/2024
2024-02-11,3.303047,-1.000000,2.000000,1.651523,5.945484,2023/2024
2024-02-11,3.254507,-1.400000,3.000000,1.084836,3.905408,2023/2024
2024-02-11,0.490938,0.000000,1.000000,0.490938,1.767376,2023/2024
2024-02-11,3.459766,-0.400000,4.000000,0.864942,3.113790,2023/2024
2024-02-11,4.683112,-0.600000,3.000000,1.561037,5.619734,2023/2024
2024-02-11,2.622083,-0.800000,2.000000,1.311041,4.719749,2023/2024
2024-02-11,1.938635,-0.400000,1.000000,1.938635,6.979085,2023/2024
2024-02-11,1.498575,-0.200000,1.000000,1.498575,5.394869,2023/2024
2024-02-11,2.902945,-0.600000,2.000000,1.451472,5.225300,2023/2024
2024-02-11,2.708145,-0.200000,2.000000,1.354073,4.874662,2023/2024
2024-02-11,3.326991,-0.400000,3.000000,1.108997,3.992390,2023/2024
2024-02-11,1.206077,-0.200000,1.000000,1.206077,4.341878,2023/2024
2024-02-11,3.449767,-0.600000,2.000000,1.724884,6.209581,2023/2024
2024-02-11,4.240923,-1.000000,2.000000,2.120461,7.633661,2023/2024
2024-02-11,2.167896,-0.400000,1.000000,2.167896,7.804427,2023/2024
2024-02-11,3.103554,-0.200000,1.000000,3.103554,11.172795,2023/2024
2024-02-11,3.708751,-0.400000,2.000000,1.854376,6.675752,2023/2024
2024-02-11,1.968110,-0.800000,1.000000,1.968110,7.085195,2023/2024
2024-02-11,2.647742,-0.200000,1.000000,2.647742,9.531870,2023/2024
2024-02-11,2.029174,-0.200000,1.000000,2.029174,7.305025,2023/2024
2024-02-11,3.326167,-0.600000,1.000000,3.326167,11.974201,2023/2024
2024-02-11,2.056813,-1.000000,1.000000,2.056813,7.404526,2023/2024
2024-02-11,1.962605,-0.600000,1.000000,1.962605,7.065377,2023/2024
2024-02-11,5.664988,-0.400000,3.000000,1.888329,6.797985,2023/2024
2024-02-11,6.649058,-1.400000,2.000000,3.324529,11.968304,2023/2024
2024-02-11,3.021361,-0.600000,1.000000,3.021361,10.876901,2023/2024
2024-02-11,2.642406,-0.400000,1.000000,2.642406,9.512661,2023/2024
2024-02-11,7.703140,-1.200000,3.000000,2.567713,9.243768,2023/2024
2024-02-11,10.746394,-0.600000,4.000000,2.686599,9.671755,2023/2024
2024-02-11,2.399736,-0.200000,1.000000,2.399736,8.639050,2023/2024
2024-02-11,5.649330,-0.400000,2.000000,2.824665,10.168793,2023/2024
2024-02-11,9.640567,-1.000000,3.000000,3.213522,11.568681,2023/2024
2024-02-11,2.601722,-0.200000,1.000000,2.601722,9.366200,2023/2024
2024-02-11,8.451614,0.000000,5.000000,1.690323,6.085162,2023/2024
2024-02-11,0.224281,0.000000,4.000000,0.056070,0.201853,2023/2024
2024-02-11,21.635865,-1.200000,48.000000,0.450747,1.622690,2023/2024
2024-02-11,4.733867,-0.200000,2.000000,2.366933,8.520960,2023/2024
2024-02-11,12.063442,-0.800000,4.000000,3.015860,10.857098,2023/2024
2024-02-11,2.905567,-0.200000,1.000000,2.905567,10.460043,2023/2024
2024-02-11,5.789596,-0.200000,2.000000,2.894798,10.421272,2023/2024
2024-02-11,9.639835,-1.000000,3.000000,3.213278,11.567802,2023/2024
2024-02-11,17.684922,-2.000000,4.000000,4.421230,15.916430,2023/2024
2024-02-11,4.471432,-0.400000,1.000000,4.471432,16.097153,2023/2024
2024-02-11,4.251570,0.000000,1.000000,4.251570,15.305651,2023/2024
2024-02-11,8.793462,-1.000000,2.000000,4.396731,15.828232,2023/2024
2024-02-11,6.227478,-0.400000,1.000000,6.227478,22.418920,2023/2024
2024-02-11,5.169998,-0.600000,1.000000,5.169998,18.611991,2023/2024
2024-02-11,15.367561,-1.200000,3.000000,5.122520,18.441073,2023/2024
2024-02-11,3.953320,0.000000,1.000000,3.953320,14.231952,2023/2024
2024-02-11,15.130297,-0.400000,5.000000,3.026059,10.893813,2023/2024
2024-02-11,1.575505,0.200000,3.000000,0.525168,1.890606,2023/2024
2024-02-11,0.349067,0.200000,2.000000,0.174533,0.628320,2023/2024
2024-02-11,32.815089,-2.000000,39.000000,0.841413,3.029085,2023/2024
2024-02-11,2.576676,-0.400000,1.000000,2.576676,9.276033,2023/2024
2024-02-11,3.075014,-0.800000,1.000000,3.075014,11.070050,2023/2024
2024-02-11,5.218113,-1.600000,2.000000,2.609057,9.392604,2023/2024
2024-02-11,5.409127,-1.000000,2.000000,2.704564,9.736429,2023/2024
2024-02-11,6.256434,-1.400000,2.000000,3.128217,11.261581,2023/2024
2024-02-11,3.288263,-0.200000,1.000000,3.288263,11.837746,2023/2024
2024-02-11,3.084603,-0.600000,1.000000,3.084603,11.104571,2023/2024
2024-02-11,2.551886,-1.200000,1.000000,2.551886,9.186788,2023/2024
2024-02-11,6.567674,-1.200000,2.000000,3.283837,11.821813,2023/2024
2024-02-11,2.827626,-1.200000,1.000000,2.827626,10.179455,2023/2024
2024-02-11,2.450590,-0.200000,1.000000,2.450590,8.822125,2023/2024
2024-02-11,6.623454,-2.000000,2.000000,3.311727,11.922218,2023/2024
2024-02-11,3.683425,-1.400000,1.000000,3.683425,13.260331,2023/2024
2024-02-11,8.473357,-1.400000,2.000000,4.236678,15.252042,2023/2024
2024-02-11,5.008325,-1.000000,1.000000,5.008325,18.029971,2023/2024
2024-02-11,5.147305,-0.600000,1.000000,5.147305,18.530297,2023/2024
2024-02-11,4.154968,-1.400000,1.000000,4.154968,14.957885,2023/2024
2024-02-11,11.427168,-1.000000,2.000000,5.713584,20.568903,2023/2024
2024-02-11,11.403653,-1.800000,2.000000,5.701826,20.526575,2023/2024
2024-02-11,4.668096,-0.400000,1.000000,4.668096,16.805146,2023/2024
2024-02-11,10.905046,-0.600000,4.000000,2.726262,9.814542,2023/2024
2024-02-11,3.713762,0.000000,4.000000,0.928440,3.342386,2023/2024
2024-02-11,1.109574,-0.400000,7.000000,0.158511,0.570638,2023/2024
2024-02-11,0.390898,-0.200000,3.000000,0.130299,0.469078,2023/2024
2024-02-11,22.146269,-1.200000,48.000000,0.461381,1.660970,2023/2024
2024-02-11,2.353627,-0.400000,1.000000,2.353627,8.473059,2023/2024
2024-02-11,10.190463,-1.000000,3.000000,3.396821,12.228556,2023/2024
2024-02-11,3.872126,-0.800000,1.000000,3.872126,13.939655,2023/2024
2024-02-11,3.373428,-1.400000,1.000000,3.373428,12.144341,2023/2024
2024-02-11,7.247271,-1.600000,2.000000,3.623635,13.045088,2023/2024
2024-02-11,3.891772,-1.000000,1.000000,3.891772,14.010380,2023/2024
2024-02-11,2.800285,-0.800000,1.000000,2.800285,10.081027,2023/2024
2024-02-11,3.042111,-0.800000,1.000000,3.042111,10.951600,2023/2024
2024-02-11,8.305168,-1.200000,3.000000,2.768389,9.966201,2023/2024
2024-02-11,3.391362,-0.800000,1.000000,3.391362,12.208905,2023/2024
2024-02-11,3.284207,-0.600000,1.000000,3.284207,11.823145,2023/2024
2024-02-11,2.525647,-0.600000,3.000000,0.841882,3.030776,2023/2024
2024-02-11,1.335252,-0.200000,3.000000,0.445084,1.602303,2023/2024
2024-02-11,2.014300,-0.400000,1.000000,2.014300,7.251479,2023/2024
2024-02-11,11.107674,-0.400000,3.000000,3.702558,13.329209,2023/2024
2024-02-11,11.222757,-1.000000,2.000000,5.611379,20.200963,2023/2024
2024-02-11,12.620711,-1.000000,2.000000,6.310355,22.717279,2023/2024
2024-02-11,5.718724,-1.000000,1.000000,5.718724,20.587405,2023/2024
2024-02-11,7.665790,-1.800000,1.000000,7.665790,27.596843,2023/2024
2024-02-11,8.523378,-1.000000,1.000000,8.523378,30.684161,2023/2024
2024-02-11,4.700207,-1.200000,1.000000,4.700207,16.920744,2023/2024
2024-02-11,6.368513,-1.600000,1.000000,6.368513,22.926647,2023/2024
2024-02-11,3.773738,-0.600000,1.000000,3.773738,13.585456,2023/2024
2024-02-11,4.363401,-1.400000,1.000000,4.363401,15.708245,2023/2024
2024-02-11,4.695326,-0.600000,1.000000,4.695326,16.903174,2023/2024
2024-02-11,6.169635,-0.600000,1.000000,6.169635,22.210686,2023/2024
2024-02-11,5.102532,-1.200000,1.000000,5.102532,18.369115,2023/2024
2024-02-11,7.356763,-1.000000,2.000000,3.678382,13.242174,2023/2024
2024-02-11,5.776219,0.000000,2.000000,2.888109,10.397194,2023/2024
2024-02-11,3.240800,0.800000,5.000000,0.648160,2.333376,2023/2024
2024-02-11,3.146869,-0.200000,5.000000,0.629374,2.265746,2023/2024
2024-02-11,3.058071,-0.400000,2.000000,1.529035,5.504528,2023/2024
2024-02-11,3.524598,-1.600000,51.000000,0.069110,0.248795,2023/2024
2024-02-11,3.197310,-0.600000,1.000000,3.197310,11.510314,2023/2024
2024-02-11,4.617077,-1.600000,1.000000,4.617077,16.621476,2023/2024
2024-02-11,3.463947,-1.200000,1.000000,3.463947,12.470210,2023/2024
2024-02-11,3.217488,-1.400000,1.000000,3.217488,11.582956,2023/2024
2024-02-11,7.233509,-1.200000,2.000000,3.616754,13.020316,2023/2024
2024-02-11,5.793160,-1.600000,2.000000,2.896580,10.427688,2023/2024
2024-02-11,7.046485,-1.600000,2.000000,3.523243,12.683674,2023/2024
2024-02-11,6.677539,-1.200000,2.000000,3.338770,12.019571,2023/2024
2024-02-11,2.880768,-1.000000,1.000000,2.880768,10.370765,2023/2024
2024-02-11,3.298333,-0.400000,1.000000,3.298333,11.874000,2023/2024
2024-02-11,5.578964,-1.600000,2.000000,2.789482,10.042136,2023/2024
2024-02-11,6.392027,-1.800000,2.000000,3.196013,11.505648,2023/2024
2024-02-11,2.042078,-0.800000,1.000000,2.042078,7.351482,2023/2024
2024-02-11,2.499298,-0.400000,1.000000,2.499298,8.997472,2023/2024
2024-02-11,5.488162,-1.600000,2.000000,2.744081,9.878692,2023/2024
2024-02-11,2.033071,-0.600000,1.000000,2.033071,7.319055,2023/2024
2024-02-11,2.804634,-0.600000,1.000000,2.804634,10.096681,2023/2024
2024-02-11,5.957949,-1.400000,2.000000,2.978974,10.724308,2023/2024
2024-02-11,4.594006,-1.800000,2.000000,2.297003,8.269211,2023/2024
2024-02-11,2.308855,-0.600000,2.000000,1.154427,4.155939,2023/2024
2024-02-11,1.114766,0.000000,2.000000,0.557383,2.006578,2023/2024
2024-02-11,0.224280,0.000000,1.000000,0.224280,0.807408,2023/2024
