Entfernung [m],Höhenunterschied [m],Zeit [s],Geschwindigkeit [m/s],Geschwindigkeit [km/h]
6.432420,-0.200000,1.000000,6.432420,23.156712
14.590907,-1.000000,2.000000,7.295453,26.263632
16.198938,-2.400000,2.000000,8.099469,29.158089
8.718953,-1.000000,1.000000,8.718953,31.388230
18.688643,-2.000000,2.000000,9.344322,33.639558
9.389877,-0.200000,1.000000,9.389877,33.803556
9.956655,-0.400000,1.000000,9.956655,35.843958
10.257162,-1.000000,1.000000,10.257162,36.925782
10.364543,-0.800000,1.000000,10.364543,37.312357
10.631220,-0.600000,1.000000,10.631220,38.272393
10.503325,-0.400000,1.000000,10.503325,37.811971
10.664416,-1.200000,1.000000,10.664416,38.391898
10.146873,-0.200000,1.000000,10.146873,36.528744
10.455063,-1.000000,1.000000,10.455063,37.638228
10.089761,-0.800000,1.000000,10.089761,36.323140
10.274940,-0.400000,1.000000,10.274940,36.989785
10.591125,-0.400000,1.000000,10.591125,38.128050
11.501268,-2.200000,1.000000,11.501268,41.404564
11.518692,-0.600000,1.000000,11.518692,41.467291
11.707290,-2.400000,1.000000,11.707290,42.146243
10.951517,-0.600000,1.000000,10.951517,39.425462
12.724245,-1.400000,1.000000,12.724245,45.807282
27.762890,8.600000,2.000000,13.881445,49.973203
30.359087,-3.400000,2.000000,15.179543,54.646356
6.261974,-3.200000,1.000000,6.261974,22.543105
9.689156,-1.400000,1.000000,9.689156,34.880962
9.100664,-1.800000,1.000000,9.100664,32.762390
9.887646,-3.200000,1.000000,9.887646,35.595525
10.083117,-2.800000,1.000000,10.083117,36.299222
11.709173,-2.000000,1.000000,11.709173,42.153021
12.843584,-2.200000,1.000000,12.843584,46.236902
13.697478,-2.400000,1.000000,13.697478,49.310922
14.058662,-3.400000,1.000000,14.058662,50.611182
11.378884,-3.400000,1.000000,11.378884,40.963982
14.367772,-2.800000,1.000000,14.367772,51.723981
16.473992,-1.400000,1.000000,16.473992,59.306372
14.745207,-2.400000,1.000000,14.745207,53.082747
13.325567,-1.400000,1.000000,13.325567,47.972041
11.052615,-0.600000,1.000000,11.052615,39.789413
9.067113,-2.200000,1.000000,9.067113,32.641607
5.854549,-0.600000,1.000000,5.854549,21.076375
3.835111,-0.600000,1.000000,3.835111,13.806400
7.250660,-1.400000,3.000000,2.416887,8.700792
18.105222,-0.200000,4.000000,4.526306,16.294700
16.757963,-3.200000,23.000000,0.728607,2.622986
16.593854,-2.800000,1.000000,16.593854,59.737873
12.694491,-2.000000,1.000000,12.694491,45.700169
15.273232,-4.000000,1.000000,15.273232,54.983635
15.304411,-2.000000,1.000000,15.304411,55.095880
14.731853,-2.600000,1.000000,14.731853,53.034670
14.267282,-1.400000,1.000000,14.267282,51.362217
13.707942,-1.600000,1.000000,13.707942,49.348591
13.794842,-2.000000,1.000000,13.794842,49.661430
14.303053,-1.200000,1.000000,14.303053,51.490991
13.939589,-2.200000,1.000000,13.939589,50.182519
12.971371,-2.200000,1.000000,12.971371,46.696936
11.741687,-2.000000,1.000000,11.741687,42.270074
10.040363,-1.400000,1.000000,10.040363,36.145306
9.483665,-3.200000,1.000000,9.483665,34.141194
15.983251,-1.800000,2.000000,7.991625,28.769851
7.811454,-1.400000,1.000000,7.811454,28.121236
7.220979,-0.800000,1.000000,7.220979,25.995526
8.117467,-0.400000,1.000000,8.117467,29.222881
19.679746,-3.600000,2.000000,9.839873,35.423543
10.226430,-2.800000,1.000000,10.226430,36.815150
10.314661,-1.800000,1.000000,10.314661,37.132781
10.839931,-3.000000,1.000000,10.839931,39.023750
11.236115,-1.600000,1.000000,11.236115,40.450013
11.795357,-2.600000,1.000000,11.795357,42.463285
12.551549,-2.400000,1.000000,12.551549,45.185578
12.900886,-2.200000,1.000000,12.900886,46.443189
13.081396,-1.200000,1.000000,13.081396,47.093027
13.183096,-2.800000,1.000000,13.183096,47.459146
13.377175,-1.800000,1.000000,13.377175,48.157831
11.996225,-1.400000,1.000000,11.996225,43.186411
11.236261,-2.400000,1.000000,11.236261,40.450541
10.647416,-2.400000,1.000000,10.647416,38.330698
9.378969,-2.600000,1.000000,9.378969,33.764290
18.358452,-3.000000,2.000000,9.179226,33.045213
8.085923,-2.600000,1.000000,8.085923,29.109322
6.112976,-1.200000,1.000000,6.112976,22.006715
9.990135,-1.200000,2.000000,4.995068,17.982243
4.987773,-1.600000,1.000000,4.987773,17.955981
5.571280,-2.200000,1.000000,5.571280,20.056608
5.337646,-0.200000,1.000000,5.337646,19.215526
21.982672,-1.000000,4.000000,5.495668,19.784405
6.049218,-0.200000,1.000000,6.049218,21.777187
7.001702,-0.400000,1.000000,7.001702,25.206128
8.254480,-1.000000,1.000000,8.254480,29.716128
8.095712,-1.000000,1.000000,8.095712,29.144564
7.588833,-2.000000,1.000000,7.588833,27.319800
7.901168,-2.200000,1.000000,7.901168,28.444204
7.973400,-2.000000,1.000000,7.973400,28.704242
8.597250,-2.400000,1.000000,8.597250,30.950099
10.057297,-3.600000,1.000000,10.057297,36.206268
10.095631,-1.400000,1.000000,10.095631,36.344270
10.607861,-2.400000,1.000000,10.607861,38.188298
9.526398,-1.200000,1.000000,9.526398,34.295033
9.788431,-4.000000,1.000000,9.788431,35.238350
9.230198,-1.600000,1.000000,9.230198,33.228712
8.087380,-1.000000,1.000000,8.087380,29.114568
8.624035,-3.600000,1.000000,8.624035,31.046525
8.171084,-1.400000,1.000000,8.171084,29.415902
9.396207,-1.200000,1.000000,9.396207,33.826344
9.450968,-1.600000,1.000000,9.450968,34.023486
9.280533,-2.800000,1.000000,9.280533,33.409920
9.454787,-2.600000,1.000000,9.454787,34.037231
9.341526,-1.200000,1.000000,9.341526,33.629492
10.906694,-2.200000,1.000000,10.906694,39.264100
10.598838,-2.200000,1.000000,10.598838,38.155818
10.713815,-3.800000,1.000000,10.713815,38.569734
10.863450,-2.800000,1.000000,10.863450,39.108421
11.273035,-1.400000,1.000000,11.273035,40.582928
11.499459,-1.800000,1.000000,11.499459,41.398052
10.943722,-2.800000,1.000000,10.943722,39.397400
11.507128,-3.600000,1.000000,11.507128,41.425661
10.935133,-2.000000,1.000000,10.935133,39.366477
12.173800,-4.200000,1.000000,12.173800,43.825680
11.235886,-1.400000,1.000000,11.235886,40.449188
8.472256,-1.800000,1.000000,8.472256,30.500121
8.582820,-4.400000,1.000000,8.582820,30.898153
7.552052,-1.800000,1.000000,7.552052,27.187386
18.138415,-2.200000,2.000000,9.069208,32.649147
10.672157,-3.000000,1.000000,10.672157,38.419766
11.770624,-3.800000,1.000000,11.770624,42.374246
12.176537,-4.600000,1.000000,12.176537,43.835533
24.351756,-3.400000,2.000000,12.175878,43.833162
12.542446,-1.800000,1.000000,12.542446,45.152805
12.413926,-1.600000,1.000000,12.413926,44.690135
20.829575,-4.600000,2.000000,10.414788,37.493236
8.581243,-1.800000,1.000000,8.581243,30.892475
7.429759,-1.400000,1.000000,7.429759,26.747132
6.922335,-0.400000,1.000000,6.922335,24.920405
24.350432,0.000000,4.000000,6.087608,21.915389
4.783410,0.000000,1.000000,4.783410,17.220276
12.270250,0.200000,4.000000,3.067563,11.043225
3.348049,0.200000,3.000000,1.116016,4.017659
1.121366,0.000000,2.000000,0.560683,2.018458
3.468768,0.000000,7.000000,0.495538,1.783938
2.479673,0.000000,2.000000,1.239837,4.463412
2.991251,0.000000,2.000000,1.495626,5.384253
2.314786,0.000000,2.000000,1.157393,4.166615
1.404958,-0.200000,1.000000,1.404958,5.057848
6.041509,0.000000,6.000000,1.006918,3.624905
1754.369449,432.400000,481.000000,3.647338,13.130416
2.971851,-0.400000,1.000000,2.971851,10.698663
2.042343,0.000000,1.000000,2.042343,7.352435
10.166384,-0.600000,2.000000,5.083192,18.299492
10.562026,1.000000,350.000000,0.030177,0.108638
10.729548,-2.000000,1.000000,10.729548,38.626372
11.506197,-2.000000,1.000000,11.506197,41.422309
12.243071,-3.800000,1.000000,12.243071,44.075056
12.183980,-3.000000,1.000000,12.183980,43.862329
13.518324,-3.000000,1.000000,13.518324,48.665968
12.253056,-2.600000,1.000000,12.253056,44.111001
9.502202,-3.400000,1.000000,9.502202,34.207928
5.639200,-2.200000,1.000000,5.639200,20.301121
2.730367,-1.800000,1.000000,2.730367,9.829322
11.010910,-0.800000,3.000000,3.670303,13.213093
8.878688,1.000000,104.000000,0.085372,0.307339
8.878690,-1.000000,1.000000,8.878690,31.963286
7.904883,-0.600000,1.000000,7.904883,28.457580
9.543811,-2.800000,1.000000,9.543811,34.357720
8.531172,-0.400000,1.000000,8.531172,30.712218
7.220555,-1.800000,1.000000,7.220555,25.993997
3.993519,-1.200000,1.000000,3.993519,14.376668
2.496113,-0.600000,1.000000,2.496113,8.986006
7.570809,-0.600000,2.000000,3.785404,13.627456
11.880252,-1.200000,2.000000,5.940126,21.384453
19.473479,-2.400000,2.000000,9.736740,35.052262
11.818962,-3.000000,1.000000,11.818962,42.548262
10.311332,-2.600000,1.000000,10.311332,37.120795
12.417235,-3.000000,1.000000,12.417235,44.702047
12.452225,-2.000000,1.000000,12.452225,44.828009
11.187736,-2.200000,1.000000,11.187736,40.275850
12.487796,-2.800000,1.000000,12.487796,44.956065
9.001844,-2.200000,1.000000,9.001844,32.406639
9.582250,-2.200000,1.000000,9.582250,34.496099
9.010995,-3.400000,1.000000,9.010995,32.439582
8.280810,-4.400000,1.000000,8.280810,29.810918
6.659454,-0.800000,1.000000,6.659454,23.974036
6.903155,-2.000000,1.000000,6.903155,24.851358
7.511401,-2.400000,1.000000,7.511401,27.041043
7.722960,-2.400000,1.000000,7.722960,27.802657
8.066479,-1.200000,1.000000,8.066479,29.039326
8.943595,-4.600000,1.000000,8.943595,32.196942
8.078997,-0.600000,1.000000,8.078997,29.084388
8.463453,-3.600000,1.000000,8.463453,30.468432
7.585904,-3.000000,1.000000,7.585904,27.309256
10.426858,-2.200000,1.000000,10.426858,37.536688
8.959770,-3.200000,1.000000,8.959770,32.255172
10.332878,-1.800000,1.000000,10.332878,37.198361
12.645703,-5.000000,1.000000,12.645703,45.524530
9.127619,-1.800000,1.000000,9.127619,32.859429
7.881827,-2.400000,1.000000,7.881827,28.374576
9.123571,-1.000000,1.000000,9.123571,32.844856
8.401812,-1.000000,1.000000,8.401812,30.246523
9.046402,-2.000000,1.000000,9.046402,32.567048
8.402036,-3.200000,1.000000,8.402036,30.247331
8.105453,-2.600000,1.000000,8.105453,29.179632
7.833941,-3.000000,1.000000,7.833941,28.202189
7.049603,-2.600000,1.000000,7.049603,25.378572
7.086528,-2.000000,1.000000,7.086528,25.511502
8.154291,-3.200000,1.000000,8.154291,29.355446
7.810610,-2.600000,1.000000,7.810610,28.118196
8.615668,-2.800000,1.000000,8.615668,31.016404
8.474267,-2.000000,1.000000,8.474267,30.507360
9.232429,-3.200000,1.000000,9.232429,33.236745
8.994006,-2.600000,1.000000,8.994006,32.378422
9.175300,-2.200000,1.000000,9.175300,33.031079
10.158349,-3.200000,1.000000,10.158349,36.570058
9.295053,-2.000000,1.000000,9.295053,33.462192
9.114307,-2.200000,1.000000,9.114307,32.811506
9.232444,-1.800000,1.000000,9.232444,33.236799
8.596322,-2.600000,1.000000,8.596322,30.946760
7.032133,-1.400000,1.000000,7.032133,25.315680
7.109816,-1.400000,1.000000,7.109816,25.595338
6.175803,-0.800000,1.000000,6.175803,22.232889
6.004124,-2.800000,1.000000,6.004124,21.614847
5.399268,-2.200000,1.000000,5.399268,19.437366
11.580673,-1.400000,2.000000,5.790337,20.845212
13.874327,-1.000000,2.000000,6.937164,24.973789
8.632038,-1.600000,2.000000,4.316019,15.537669
2.271402,-0.800000,1.000000,2.271402,8.177048
2.442273,-1.200000,1.000000,2.442273,8.792183
8.334271,-1.200000,2.000000,4.167136,15.001689
5.403787,-0.400000,1.000000,5.403787,19.453633
6.556499,-1.000000,1.000000,6.556499,23.603397
6.874384,-1.800000,1.000000,6.874384,24.747782
7.580747,-3.800000,1.000000,7.580747,27.290690
7.151744,-1.800000,1.000000,7.151744,25.746278
7.714458,-3.400000,1.000000,7.714458,27.772047
7.761800,-1.600000,1.000000,7.761800,27.942479
8.059511,-2.800000,1.000000,8.059511,29.014239
9.097643,-3.400000,1.000000,9.097643,32.751516
9.573093,-2.200000,1.000000,9.573093,34.463135
10.560627,-2.200000,1.000000,10.560627,38.018258
9.960793,-3.600000,1.000000,9.960793,35.858856
9.329207,-3.800000,1.000000,9.329207,33.585145
10.501310,-3.600000,1.000000,10.501310,37.804714
11.399534,-3.200000,1.000000,11.399534,41.038322
12.726993,-2.600000,1.000000,12.726993,45.817175
12.887055,-2.200000,1.000000,12.887055,46.393399
14.864066,-4.400000,1.000000,14.864066,53.510639
16.033688,-3.600000,1.000000,16.033688,57.721278
15.474545,-3.200000,1.000000,15.474545,55.708362
15.193207,-2.800000,1.000000,15.193207,54.695546
14.416530,-1.000000,1.000000,14.416530,51.899509
13.968058,-2.000000,1.000000,13.968058,50.285010
14.065384,-1.200000,1.000000,14.065384,50.635384
13.447311,-1.600000,1.000000,13.447311,48.410319
17.653522,-4.600000,1.000000,17.653522,63.552680
12.032458,-2.400000,1.000000,12.032458,43.316848
15.150708,-2.200000,1.000000,15.150708,54.542549
15.419629,-4.800000,1.000000,15.419629,55.510665
14.866895,-3.000000,1.000000,14.866895,53.520823
15.139894,-4.000000,1.000000,15.139894,54.503620
14.119313,-2.600000,1.000000,14.119313,50.829526
11.334923,-2.200000,1.000000,11.334923,40.805722
23.531861,-3.000000,2.000000,11.765931,42.357350
11.431004,-1.600000,1.000000,11.431004,41.151613
