Entfernung [m],Höhenunterschied [m],Zeit [s],Geschwindigkeit [m/s],Geschwindigkeit [km/h]
7.491601,-0.200000,1.000000,7.491601,26.969764
15.268750,-1.000000,2.000000,7.634375,27.483750
9.451982,-0.600000,1.000000,9.451982,34.027135
9.556434,-0.400000,1.000000,9.556434,34.403163
20.819017,-2.200000,2.000000,10.409509,37.474231
10.227974,-1.400000,1.000000,10.227974,36.820707
8.408223,-0.400000,1.000000,8.408223,30.269604
10.763962,-1.200000,1.000000,10.763962,38.750263
24.245428,-2.400000,2.000000,12.122714,43.641770
23.279608,-1.600000,2.000000,11.639804,41.903294
11.372562,-1.000000,1.000000,11.372562,40.941223
36.827069,-1.200000,3.000000,12.275690,44.192483
12.837944,-1.200000,1.000000,12.837944,46.216600
12.940737,-2.600000,1.000000,12.940737,46.586653
12.926520,-1.400000,1.000000,12.926520,46.535472
13.363062,-1.800000,1.000000,13.363062,48.107024
13.690577,-2.400000,1.000000,13.690577,49.286079
14.291606,-3.200000,1.000000,14.291606,51.449782
29.005989,-1.400000,2.000000,14.502995,52.210781
14.987381,-1.800000,1.000000,14.987381,53.954570
16.345930,-3.000000,1.000000,16.345930,58.845347
17.538404,-5.000000,1.000000,17.538404,63.138256
17.638444,-3.200000,1.000000,17.638444,63.498399
15.343609,-1.000000,1.000000,15.343609,55.236992
15.525837,-1.800000,1.000000,15.525837,55.893015
17.133004,-3.400000,1.000000,17.133004,61.678815
13.260891,-2.000000,1.000000,13.260891,47.739209
22.372233,-5.600000,1.000000,22.372233,80.540039
16.984828,-2.600000,1.000000,16.984828,61.145380
15.844984,-1.400000,1.000000,15.844984,57.041941
18.067541,-1.800000,1.000000,18.067541,65.043148
18.425266,-1.600000,1.000000,18.425266,66.330956
31.372764,-1.800000,2.000000,15.686382,56.470975
15.933558,-2.400000,1.000000,15.933558,57.360809
15.284431,-3.400000,1.000000,15.284431,55.023951
16.896141,-2.000000,1.000000,16.896141,60.826107
11.847317,-2.800000,1.000000,11.847317,42.650340
13.159454,-1.600000,1.000000,13.159454,47.374035
13.804935,-2.800000,1.000000,13.804935,49.697766
17.285908,-1.600000,1.000000,17.285908,62.229268
12.626986,-3.000000,1.000000,12.626986,45.457150
19.100466,-1.400000,1.000000,19.100466,68.761678
16.309487,-2.600000,1.000000,16.309487,58.714154
17.140093,-3.600000,1.000000,17.140093,61.704336
16.636095,-1.600000,1.000000,16.636095,59.889943
16.861139,-2.000000,1.000000,16.861139,60.700099
17.316273,-3.000000,1.000000,17.316273,62.338584
16.344755,-2.800000,1.000000,16.344755,58.841118
16.468027,-2.400000,1.000000,16.468027,59.284897
17.790767,-4.200000,1.000000,17.790767,64.046763
17.249336,-1.800000,1.000000,17.249336,62.097611
17.306958,-4.600000,1.000000,17.306958,62.305049
17.323864,-3.400000,1.000000,17.323864,62.365912
16.210650,-2.000000,1.000000,16.210650,58.358339
13.035711,-4.200000,1.000000,13.035711,46.928559
18.163651,-1.200000,1.000000,18.163651,65.389145
14.628759,-1.000000,1.000000,14.628759,52.663532
15.252193,-1.800000,1.000000,15.252193,54.907894
16.293384,-4.000000,1.000000,16.293384,58.656182
15.878444,-1.400000,1.000000,15.878444,57.162398
15.701939,-1.200000,1.000000,15.701939,56.526979
15.742938,-2.400000,1.000000,15.742938,56.674578
17.178559,-5.800000,1.000000,17.178559,61.842813
15.355555,-1.600000,1.000000,15.355555,55.279998
16.123428,-3.000000,1.000000,16.123428,58.044341
17.265657,-5.800000,1.000000,17.265657,62.156366
17.036011,-3.000000,1.000000,17.036011,61.329640
18.574974,-5.200000,1.000000,18.574974,66.869908
18.333448,-3.400000,1.000000,18.333448,66.000414
19.963068,-8.200000,1.000000,19.963068,71.867044
17.289858,-3.000000,1.000000,17.289858,62.243489
16.857091,-1.600000,1.000000,16.857091,60.685529
17.129868,-4.000000,1.000000,17.129868,61.667524
16.961845,-5.000000,1.000000,16.961845,61.062640
15.030085,-5.800000,1.000000,15.030085,54.108305
20.300376,-2.400000,1.000000,20.300376,73.081352
17.253056,-3.400000,1.000000,17.253056,62.111002
18.517263,-4.800000,1.000000,18.517263,66.662146
18.449593,-3.600000,1.000000,18.449593,66.418535
19.268083,-3.800000,1.000000,19.268083,69.365098
20.323253,-5.400000,1.000000,20.323253,73.163712
20.714693,-2.800000,1.000000,20.714693,74.572895
20.000133,-3.000000,1.000000,20.000133,72.000481
22.518231,-12.200000,1.000000,22.518231,81.065633
18.981430,-2.200000,1.000000,18.981430,68.333147
18.314373,-3.600000,1.000000,18.314373,65.931744
13.914582,-1.800000,1.000000,13.914582,50.092494
12.244528,-3.200000,1.000000,12.244528,44.080302
10.789741,-6.200000,1.000000,10.789741,38.843066
6.921572,-0.800000,1.000000,6.921572,24.917658
5.954886,-0.800000,1.000000,5.954886,21.437591
4.597300,-0.200000,1.000000,4.597300,16.550278
3.822099,0.000000,1.000000,3.822099,13.759555
2.530989,0.000000,1.000000,2.530989,9.111560
3.460461,-0.200000,3.000000,1.153487,4.152553
2.192708,0.000000,1.000000,2.192708,7.893747
6.363280,-0.200000,2.000000,3.181640,11.453904
16.086504,0.200000,6.000000,2.681084,9.651902
8.855371,-0.400000,5.000000,1.771074,6.375867
3.742890,0.000000,7.000000,0.534699,1.924915
3.038250,-0.200000,6.000000,0.506375,1.822950
4.194270,0.000000,4.000000,1.048568,3.774843
10.819168,-0.400000,5.000000,2.163834,7.789801
10.644859,2.200000,3.000000,3.548286,12.773831
4.515672,2.400000,1.000000,4.515672,16.256419
2238.854375,725.400000,552.000000,4.055896,14.601224
3.375504,-0.600000,1.000000,3.375504,12.151815
11.733530,-0.400000,2.000000,5.866765,21.120354
10.871661,-0.200000,2.000000,5.435831,19.568990
10.025734,0.000000,2.000000,5.012867,18.046321
15.630972,-0.400000,3.000000,5.210324,18.757166
21.653331,0.000000,5.000000,4.330666,15.590399
19.285662,0.000000,6.000000,3.214277,11.571397
30.603406,-0.400000,6.000000,5.100568,18.362044
3.844283,-0.600000,1.000000,3.844283,13.839420
10.488498,-0.400000,2.000000,5.244249,18.879297
16.465644,-1.000000,2.000000,8.232822,29.638159
14.403777,-1.600000,2.000000,7.201888,25.926798
8.847640,-1.200000,1.000000,8.847640,31.851503
9.030499,-1.000000,1.000000,9.030499,32.509798
18.956431,-2.400000,2.000000,9.478215,34.121575
22.337321,-1.800000,2.000000,11.168660,40.207178
12.032198,-2.600000,1.000000,12.032198,43.315913
12.524750,-2.200000,1.000000,12.524750,45.089099
11.888227,-0.800000,1.000000,11.888227,42.797618
14.906560,-4.400000,1.000000,14.906560,53.663617
12.382889,-1.200000,1.000000,12.382889,44.578401
11.107654,-1.600000,1.000000,11.107654,39.987553
14.669467,-3.200000,1.000000,14.669467,52.810081
17.972192,-0.400000,1.000000,17.972192,64.699891
14.392587,-0.600000,1.000000,14.392587,51.813314
13.041658,-4.400000,1.000000,13.041658,46.949970
18.652149,-2.400000,1.000000,18.652149,67.147735
15.580983,-1.800000,1.000000,15.580983,56.091538
15.057962,-4.000000,1.000000,15.057962,54.208664
14.376815,-1.800000,1.000000,14.376815,51.756535
13.413938,-1.600000,1.000000,13.413938,48.290176
13.853727,-0.600000,1.000000,13.853727,49.873417
14.896203,-1.200000,1.000000,14.896203,53.626332
17.164015,-6.600000,1.000000,17.164015,61.790454
18.025972,-1.600000,1.000000,18.025972,64.893498
18.526883,-2.600000,1.000000,18.526883,66.696779
21.218440,-9.600000,1.000000,21.218440,76.386383
19.223944,-4.400000,1.000000,19.223944,69.206197
17.685241,-3.600000,1.000000,17.685241,63.666866
17.572040,-4.400000,1.000000,17.572040,63.259342
16.120099,-1.600000,1.000000,16.120099,58.032355
15.801005,-2.200000,1.000000,15.801005,56.883617
14.721955,-1.800000,1.000000,14.721955,52.999039
13.621701,-1.800000,1.000000,13.621701,49.038124
14.511371,-1.800000,1.000000,14.511371,52.240937
15.795108,-1.400000,1.000000,15.795108,56.862390
16.901008,-4.400000,1.000000,16.901008,60.843627
17.042112,-2.800000,1.000000,17.042112,61.351604
18.366593,-2.400000,1.000000,18.366593,66.119734
21.439354,-4.400000,1.000000,21.439354,77.181673
22.357940,-5.800000,1.000000,22.357940,80.488584
23.898228,-10.600000,1.000000,23.898228,86.033622
22.397442,-6.400000,1.000000,22.397442,80.630791
20.368265,-4.800000,1.000000,20.368265,73.325756
17.749767,-2.000000,1.000000,17.749767,63.899161
15.922822,-1.800000,1.000000,15.922822,57.322161
15.231676,-4.000000,1.000000,15.231676,54.834032
12.980821,-3.200000,1.000000,12.980821,46.730957
11.586003,-3.400000,1.000000,11.586003,41.709609
11.726701,-1.400000,1.000000,11.726701,42.216124
14.488903,-7.200000,1.000000,14.488903,52.160052
14.532269,-2.200000,1.000000,14.532269,52.316169
16.966070,-4.800000,1.000000,16.966070,61.077854
14.573661,-3.600000,1.000000,14.573661,52.465179
14.264517,-1.800000,1.000000,14.264517,51.352260
18.436660,-9.600000,1.000000,18.436660,66.371977
16.393072,-4.200000,1.000000,16.393072,59.015060
15.516811,-5.400000,1.000000,15.516811,55.860519
17.942049,-4.600000,1.000000,17.942049,64.591377
16.696689,-3.400000,1.000000,16.696689,60.108081
18.891436,-7.400000,1.000000,18.891436,68.009171
17.143116,-5.200000,1.000000,17.143116,61.715216
16.856240,-1.400000,1.000000,16.856240,60.682463
17.468504,-1.800000,1.000000,17.468504,62.886614
17.599132,-2.400000,1.000000,17.599132,63.356875
19.729954,-7.800000,1.000000,19.729954,71.027835
20.447940,-7.200000,1.000000,20.447940,73.612585
21.530012,-5.000000,1.000000,21.530012,77.508043
23.130954,-1.600000,1.000000,23.130954,83.271434
26.124527,-11.200000,1.000000,26.124527,94.048298
23.029490,-5.000000,1.000000,23.029490,82.906165
21.489987,-4.200000,1.000000,21.489987,77.363952
20.179891,-4.000000,1.000000,20.179891,72.647609
20.440169,-3.600000,1.000000,20.440169,73.584609
19.318683,-3.600000,1.000000,19.318683,69.547259
19.140736,-2.000000,1.000000,19.140736,68.906649
18.038933,-3.400000,1.000000,18.038933,64.940157
17.792809,-3.400000,1.000000,17.792809,64.054111
16.307579,-2.200000,1.000000,16.307579,58.707286
16.071496,-2.200000,1.000000,16.071496,57.857385
16.037578,-2.000000,1.000000,16.037578,57.735279
15.928776,-1.200000,1.000000,15.928776,57.343593
14.058693,-1.200000,1.000000,14.058693,50.611294
15.035294,-3.200000,1.000000,15.035294,54.127059
14.583099,-0.400000,1.000000,14.583099,52.499158
15.095523,-1.000000,1.000000,15.095523,54.343882
29.774956,-3.600000,2.000000,14.887478,53.594921
14.835955,-1.600000,1.000000,14.835955,53.409439
15.128789,-2.200000,1.000000,15.128789,54.463640
12.579762,-1.800000,1.000000,12.579762,45.287142
20.953974,-1.600000,1.000000,20.953974,75.434308
15.430110,-5.000000,1.000000,15.430110,55.548396
20.266894,-4.000000,1.000000,20.266894,72.960818
24.453207,-3.400000,1.000000,24.453207,88.031546
21.596098,-8.400000,1.000000,21.596098,77.745951
15.866256,-3.200000,1.000000,15.866256,57.118522
18.787564,-4.000000,1.000000,18.787564,67.635229
17.692207,-2.400000,1.000000,17.692207,63.691946
21.168517,-2.200000,1.000000,21.168517,76.206662
13.654821,-2.000000,1.000000,13.654821,49.157355
15.755929,-2.800000,1.000000,15.755929,56.721343
13.265779,-1.400000,1.000000,13.265779,47.756803
13.278021,-4.800000,1.000000,13.278021,47.800875
10.836161,-2.800000,1.000000,10.836161,39.010181
9.974437,-2.200000,1.000000,9.974437,35.907973
13.594255,-5.800000,1.000000,13.594255,48.939317
12.686862,-3.000000,1.000000,12.686862,45.672702
12.588681,-6.000000,1.000000,12.588681,45.319252
10.918608,-3.400000,1.000000,10.918608,39.306988
12.617497,-6.400000,1.000000,12.617497,45.422989
11.955719,-5.200000,1.000000,11.955719,43.040587
12.794744,-3.800000,1.000000,12.794744,46.061078
14.089723,-5.800000,1.000000,14.089723,50.723001
15.881519,-6.200000,1.000000,15.881519,57.173467
16.937723,-7.000000,1.000000,16.937723,60.975802
16.501445,-2.200000,1.000000,16.501445,59.405201
21.112923,-8.800000,1.000000,21.112923,76.006524
19.114943,-4.200000,1.000000,19.114943,68.813795
17.857493,-7.200000,1.000000,17.857493,64.286974
16.911195,-2.600000,1.000000,16.911195,60.880302
16.007434,-3.200000,1.000000,16.007434,57.626764
16.562310,-3.400000,1.000000,16.562310,59.624314
17.273443,-2.800000,1.000000,17.273443,62.184395
17.057611,-2.400000,1.000000,17.057611,61.407398
18.113378,-7.000000,1.000000,18.113378,65.208161
14.055114,-3.200000,1.000000,14.055114,50.598411
19.080182,-3.200000,1.000000,19.080182,68.688655
20.824291,-4.200000,1.000000,20.824291,74.967448
32.130330,-17.800000,1.000000,32.130330,115.669189
20.328020,-1.600000,1.000000,20.328020,73.180871
14.121219,-1.000000,1.000000,14.121219,50.836387
7.848513,-0.800000,1.000000,7.848513,28.254645
8.834874,-0.400000,1.000000,8.834874,31.805545
8.360742,0.400000,3.000000,2.786914,10.032890
1.224526,0.000000,1.000000,1.224526,4.408295
3.058833,-0.400000,3.000000,1.019611,3.670599
3.696858,-0.400000,3.000000,1.232286,4.436229
4.268616,-0.400000,3.000000,1.422872,5.122339
0.534018,0.000000,1.000000,0.534018,1.922466
8.592709,-0.600000,7.000000,1.227530,4.419107
6.314340,-0.400000,4.000000,1.578585,5.682906
2.732966,-0.200000,2.000000,1.366483,4.919339
0.783579,-0.200000,2.000000,0.391789,1.410442
0.214056,-0.200000,1.000000,0.214056,0.770601
0.817430,0.000000,2.000000,0.408715,1.471375
21.867760,-2.400000,21.000000,1.041322,3.748759
18.631879,0.600000,4.000000,4.657970,16.768691
5.053448,0.800000,1.000000,5.053448,18.192412
10.127474,2.400000,2.000000,5.063737,18.229454
1397.746216,378.400000,333.000000,4.197436,15.110770
4.443827,-0.600000,1.000000,4.443827,15.997776
9.244320,-0.800000,1.000000,9.244320,33.279553
19.504580,-1.600000,2.000000,9.752290,35.108244
7.765941,-1.200000,1.000000,7.765941,27.957389
27.706496,-1.200000,3.000000,9.235499,33.247795
7.439516,-0.400000,1.000000,7.439516,26.782256
25.565624,-0.600000,4.000000,6.391406,23.009062
6.142080,0.000000,1.000000,6.142080,22.111487
26.231184,-1.200000,4.000000,6.557796,23.608066
17.072503,-1.800000,2.000000,8.536252,30.730506
10.688664,-0.600000,1.000000,10.688664,38.479189
10.764582,-2.000000,1.000000,10.764582,38.752494
16.989478,-4.400000,1.000000,16.989478,61.162121
13.902202,-1.800000,1.000000,13.902202,50.047929
13.580300,-3.600000,1.000000,13.580300,48.889078
12.596859,-1.600000,1.000000,12.596859,45.348691
12.525037,-1.600000,1.000000,12.525037,45.090133
10.150202,-0.800000,1.000000,10.150202,36.540727
7.595835,-1.600000,1.000000,7.595835,27.345007
5.371891,-1.800000,1.000000,5.371891,19.338809
6.883927,-1.600000,3.000000,2.294642,8.260712
1.088595,-0.400000,1.000000,1.088595,3.918941
6.873767,-0.400000,2.000000,3.436883,12.372780
12.813489,-3.600000,2.000000,6.406745,23.064280
6.435851,-2.000000,1.000000,6.435851,23.169064
7.084865,-3.800000,1.000000,7.084865,25.505514
6.501017,-1.600000,1.000000,6.501017,23.403660
7.665190,-4.000000,1.000000,7.665190,27.594683
7.613036,-1.800000,1.000000,7.613036,27.406929
8.399783,-4.400000,1.000000,8.399783,30.239219
7.979828,-3.600000,1.000000,7.979828,28.727382
8.353261,-2.200000,1.000000,8.353261,30.071740
9.871347,-3.800000,1.000000,9.871347,35.536848
9.954133,-3.600000,1.000000,9.954133,35.834877
10.947154,-5.000000,1.000000,10.947154,39.409756
11.066235,-4.400000,1.000000,11.066235,39.838445
10.898004,-3.400000,1.000000,10.898004,39.232816
11.154607,-3.600000,1.000000,11.154607,40.156586
11.616802,-4.200000,1.000000,11.616802,41.820487
14.947692,-6.400000,1.000000,14.947692,53.811691
13.677452,-3.200000,1.000000,13.677452,49.238829
16.247754,-7.200000,1.000000,16.247754,58.491915
17.728182,-3.000000,1.000000,17.728182,63.821455
18.535937,-4.200000,1.000000,18.535937,66.729374
15.489623,-2.600000,1.000000,15.489623,55.762644
12.204163,-4.600000,1.000000,12.204163,43.934987
9.891325,-2.600000,1.000000,9.891325,35.608770
7.198344,-1.000000,1.000000,7.198344,25.914040
5.445050,-0.800000,1.000000,5.445050,19.602181
5.447082,-1.000000,1.000000,5.447082,19.609496
5.657808,-1.000000,1.000000,5.657808,20.368108
5.258203,-1.000000,1.000000,5.258203,18.929532
7.683534,-3.200000,1.000000,7.683534,27.660724
8.049770,-2.200000,1.000000,8.049770,28.979172
9.509656,-4.000000,1.000000,9.509656,34.234761
8.875015,-3.800000,1.000000,8.875015,31.950053
12.987526,-2.200000,1.000000,12.987526,46.755093
12.005405,-3.400000,1.000000,12.005405,43.219459
12.121842,-4.000000,1.000000,12.121842,43.638633
