Date,Entfernung [m],Höhenunterschied [m],Zeit [s],Geschwindigkeit [m/s],Geschwindigkeit [km/h],Saison
2024-02-17,2066.434760,945.000000,759.000000,2.722575,9.801272,2023/2024
2024-02-17,4.869329,-1.000000,1.000000,4.869329,17.529583,2023/2024
2024-02-17,10.733722,-1.400000,1.000000,10.733722,38.641400,2023/2024
2024-02-17,11.818027,-2.600000,1.000000,11.818027,42.544898,2023/2024
2024-02-17,11.938748,-4.200000,1.000000,11.938748,42.979494,2023/2024
2024-02-17,20.190887,-1.600000,2.000000,10.095443,36.343596,2023/2024
2024-02-17,18.190383,-1.000000,2.000000,9.095192,32.742690,2023/2024
2024-02-17,17.119041,-1.000000,2.000000,8.559520,30.814273,2023/2024
2024-02-17,8.686279,-0.800000,1.000000,8.686279,31.270606,2023/2024
2024-02-17,8.435123,-1.000000,1.000000,8.435123,30.366442,2023/2024
2024-02-17,13.419153,-0.600000,2.000000,6.709577,24.154476,2023/2024
2024-02-17,4.386971,-0.200000,3.000000,1.462324,5.264365,2023/2024
2024-02-17,0.572272,0.000000,4.000000,0.143068,0.515045,2023/2024
2024-02-17,13.753316,-1.800000,38.000000,0.361929,1.302946,2023/2024
2024-02-17,3.412326,-0.200000,1.000000,3.412326,12.284373,2023/2024
2024-02-17,12.237077,-1.600000,2.000000,6.118538,22.026738,2023/2024
2024-02-17,8.727833,-2.800000,1.000000,8.727833,31.420198,2023/2024
2024-02-17,9.033011,-1.000000,1.000000,9.033011,32.518839,2023/2024
2024-02-17,9.632707,-1.200000,1.000000,9.632707,34.677746,2023/2024
2024-02-17,10.336918,-2.800000,1.000000,10.336918,37.212906,2023/2024
2024-02-17,10.735539,-2.600000,1.000000,10.735539,38.647940,2023/2024
2024-02-17,10.129460,-1.600000,1.000000,10.129460,36.466056,2023/2024
2024-02-17,11.009321,-3.200000,1.000000,11.009321,39.633557,2023/2024
2024-02-17,11.391948,-3.200000,1.000000,11.391948,41.011011,2023/2024
2024-02-17,10.660145,-2.400000,1.000000,10.660145,38.376520,2023/2024
2024-02-17,11.348759,-4.000000,1.000000,11.348759,40.855534,2023/2024
2024-02-17,10.308666,-3.000000,1.000000,10.308666,37.111198,2023/2024
2024-02-17,9.841764,-2.600000,1.000000,9.841764,35.430349,2023/2024
2024-02-17,9.268517,-1.000000,1.000000,9.268517,33.366661,2023/2024
2024-02-17,9.433626,-1.200000,1.000000,9.433626,33.961054,2023/2024
2024-02-17,18.618508,-1.800000,2.000000,9.309254,33.513314,2023/2024
2024-02-17,7.735880,-1.400000,1.000000,7.735880,27.849169,2023/2024
2024-02-17,5.156705,-1.400000,1.000000,5.156705,18.564137,2023/2024
2024-02-17,2.747136,-0.200000,1.000000,2.747136,9.889689,2023/2024
2024-02-17,1.637095,-0.200000,1.000000,1.637095,5.893542,2023/2024
2024-02-17,1.804788,-0.600000,2.000000,0.902394,3.248618,2023/2024
2024-02-17,1.134839,-0.200000,1.000000,1.134839,4.085421,2023/2024
2024-02-17,3.283279,-0.400000,2.000000,1.641639,5.909902,2023/2024
2024-02-17,8.084772,-1.000000,2.000000,4.042386,14.552590,2023/2024
2024-02-17,5.178043,-1.400000,1.000000,5.178043,18.640956,2023/2024
2024-02-17,6.076631,-2.000000,1.000000,6.076631,21.875872,2023/2024
2024-02-17,13.157350,-1.400000,2.000000,6.578675,23.683230,2023/2024
2024-02-17,6.623859,-0.400000,1.000000,6.623859,23.845893,2023/2024
2024-02-17,6.238387,-0.800000,1.000000,6.238387,22.458194,2023/2024
2024-02-17,6.604072,-1.400000,1.000000,6.604072,23.774659,2023/2024
2024-02-17,14.449700,-3.800000,2.000000,7.224850,26.009461,2023/2024
2024-02-17,7.514675,-1.200000,1.000000,7.514675,27.052830,2023/2024
2024-02-17,9.127904,-2.000000,1.000000,9.127904,32.860456,2023/2024
2024-02-17,10.284722,-1.400000,1.000000,10.284722,37.024998,2023/2024
2024-02-17,11.264117,-4.200000,1.000000,11.264117,40.550821,2023/2024
2024-02-17,11.631454,-1.800000,1.000000,11.631454,41.873233,2023/2024
2024-02-17,11.751733,-1.400000,1.000000,11.751733,42.306237,2023/2024
2024-02-17,10.990725,-2.000000,1.000000,10.990725,39.566610,2023/2024
2024-02-17,22.153806,-3.600000,2.000000,11.076903,39.876851,2023/2024
2024-02-17,10.087340,-2.400000,1.000000,10.087340,36.314423,2023/2024
2024-02-17,8.664232,-2.200000,1.000000,8.664232,31.191235,2023/2024
2024-02-17,8.335792,-1.800000,1.000000,8.335792,30.008851,2023/2024
2024-02-17,7.341491,-3.000000,1.000000,7.341491,26.429366,2023/2024
2024-02-17,5.651259,-2.200000,1.000000,5.651259,20.344534,2023/2024
2024-02-17,8.950655,-1.200000,2.000000,4.475328,16.111180,2023/2024
2024-02-17,11.039077,-1.600000,2.000000,5.519538,19.870338,2023/2024
2024-02-17,5.196831,-0.800000,1.000000,5.196831,18.708590,2023/2024
2024-02-17,4.182914,-1.800000,1.000000,4.182914,15.058490,2023/2024
2024-02-17,3.579901,-0.600000,3.000000,1.193300,4.295882,2023/2024
2024-02-17,5.949442,-0.600000,4.000000,1.487360,5.354497,2023/2024
2024-02-17,3.554280,-2.000000,1.000000,3.554280,12.795409,2023/2024
2024-02-17,10.142978,-0.600000,2.000000,5.071489,18.257360,2023/2024
2024-02-17,8.611162,-2.000000,1.000000,8.611162,31.000184,2023/2024
2024-02-17,9.988278,-3.800000,1.000000,9.988278,35.957803,2023/2024
2024-02-17,12.728589,-4.200000,1.000000,12.728589,45.822919,2023/2024
2024-02-17,15.241283,-2.000000,1.000000,15.241283,54.868621,2023/2024
2024-02-17,16.404078,-6.800000,1.000000,16.404078,59.054681,2023/2024
2024-02-17,15.457056,-4.400000,1.000000,15.457056,55.645403,2023/2024
2024-02-17,17.087073,-2.000000,1.000000,17.087073,61.513461,2023/2024
2024-02-17,16.969433,-4.000000,1.000000,16.969433,61.089958,2023/2024
2024-02-17,16.384676,-1.200000,1.000000,16.384676,58.984833,2023/2024
2024-02-17,16.271491,-1.200000,1.000000,16.271491,58.577368,2023/2024
2024-02-17,14.812430,-0.800000,1.000000,14.812430,53.324749,2023/2024
2024-02-17,13.785571,-0.400000,1.000000,13.785571,49.628057,2023/2024
2024-02-17,25.361012,-2.400000,2.000000,12.680506,45.649822,2023/2024
2024-02-17,11.473598,-1.200000,1.000000,11.473598,41.304955,2023/2024
2024-02-17,19.365161,-1.200000,2.000000,9.682581,34.857290,2023/2024
2024-02-17,29.190286,-3.200000,3.000000,9.730095,35.028343,2023/2024
2024-02-17,11.257699,-3.600000,1.000000,11.257699,40.527718,2023/2024
2024-02-17,11.190096,-1.200000,1.000000,11.190096,40.284346,2023/2024
2024-02-17,12.016747,-0.400000,1.000000,12.016747,43.260291,2023/2024
2024-02-17,13.195175,-5.000000,1.000000,13.195175,47.502629,2023/2024
2024-02-17,12.715324,-1.600000,1.000000,12.715324,45.775166,2023/2024
2024-02-17,14.646566,-5.600000,1.000000,14.646566,52.727639,2023/2024
2024-02-17,14.136048,-2.800000,1.000000,14.136048,50.889772,2023/2024
2024-02-17,13.386557,-3.200000,1.000000,13.386557,48.191607,2023/2024
2024-02-17,12.338286,-1.600000,1.000000,12.338286,44.417831,2023/2024
2024-02-17,10.989550,-2.000000,1.000000,10.989550,39.562381,2023/2024
2024-02-17,9.517291,0.000000,1.000000,9.517291,34.262249,2023/2024
2024-02-17,11.782667,8.800000,1.000000,11.782667,42.417600,2023/2024
2024-02-17,67.103236,0.400000,19.000000,3.531749,12.714297,2023/2024
2024-02-17,2.555332,-0.200000,1.000000,2.555332,9.199194,2023/2024
2024-02-17,21.134563,-1.600000,4.000000,5.283641,19.021107,2023/2024
2024-02-17,8.915576,-0.800000,2.000000,4.457788,16.048037,2023/2024
2024-02-17,9.385366,-0.200000,3.000000,3.128455,11.262439,2023/2024
2024-02-17,4.463892,-0.200000,2.000000,2.231946,8.035005,2023/2024
2024-02-17,14.876747,-1.000000,5.000000,2.975349,10.711258,2023/2024
2024-02-17,5.474499,-0.800000,1.000000,5.474499,19.708196,2023/2024
2024-02-17,6.880917,-1.000000,1.000000,6.880917,24.771302,2023/2024
2024-02-17,6.850623,-2.200000,1.000000,6.850623,24.662244,2023/2024
2024-02-17,6.843968,-2.200000,1.000000,6.843968,24.638286,2023/2024
2024-02-17,12.747078,-2.600000,2.000000,6.373539,22.944740,2023/2024
2024-02-17,7.364742,-2.400000,1.000000,7.364742,26.513069,2023/2024
2024-02-17,16.665547,-1.600000,2.000000,8.332774,29.997985,2023/2024
2024-02-17,9.376305,-1.200000,1.000000,9.376305,33.754699,2023/2024
2024-02-17,10.002710,-1.200000,1.000000,10.002710,36.009757,2023/2024
2024-02-17,10.301673,-1.000000,1.000000,10.301673,37.086021,2023/2024
2024-02-17,9.207891,-1.800000,1.000000,9.207891,33.148409,2023/2024
2024-02-17,8.039168,-0.600000,1.000000,8.039168,28.941004,2023/2024
2024-02-17,7.449270,-0.400000,1.000000,7.449270,26.817370,2023/2024
2024-02-17,20.590167,-2.400000,3.000000,6.863389,24.708201,2023/2024
2024-02-17,6.638754,-1.400000,1.000000,6.638754,23.899515,2023/2024
2024-02-17,6.659899,-0.800000,1.000000,6.659899,23.975636,2023/2024
2024-02-17,7.512664,-1.200000,1.000000,7.512664,27.045590,2023/2024
2024-02-17,9.487954,-1.600000,1.000000,9.487954,34.156635,2023/2024
2024-02-17,10.616154,-1.600000,1.000000,10.616154,38.218156,2023/2024
2024-02-17,13.344272,-4.400000,1.000000,13.344272,48.039377,2023/2024
2024-02-17,13.427017,-2.600000,1.000000,13.427017,48.337262,2023/2024
2024-02-17,13.025255,-1.600000,1.000000,13.025255,46.890917,2023/2024
2024-02-17,12.396152,-1.800000,1.000000,12.396152,44.626146,2023/2024
2024-02-17,8.878134,-0.400000,1.000000,8.878134,31.961283,2023/2024
2024-02-17,7.384647,-0.600000,1.000000,7.384647,26.584728,2023/2024
2024-02-17,11.060065,-0.600000,2.000000,5.530032,19.908116,2023/2024
2024-02-17,5.398364,-0.400000,1.000000,5.398364,19.434109,2023/2024
2024-02-17,5.298215,-0.200000,1.000000,5.298215,19.073573,2023/2024
