Date,Entfernung [m],Höhenunterschied [m],Zeit [s],Geschwindigkeit [m/s],Geschwindigkeit [km/h],Saison
2024-01-30,7.491601,-0.200000,1.000000,7.491601,26.969764,2023/2024
2024-01-30,15.268750,-1.000000,2.000000,7.634375,27.483750,2023/2024
2024-01-30,9.451982,-0.600000,1.000000,9.451982,34.027135,2023/2024
2024-01-30,9.556434,-0.400000,1.000000,9.556434,34.403163,2023/2024
2024-01-30,20.819017,-2.200000,2.000000,10.409509,37.474231,2023/2024
2024-01-30,10.227974,-1.400000,1.000000,10.227974,36.820707,2023/2024
2024-01-30,8.408223,-0.400000,1.000000,8.408223,30.269604,2023/2024
2024-01-30,10.763962,-1.200000,1.000000,10.763962,38.750263,2023/2024
2024-01-30,24.245428,-2.400000,2.000000,12.122714,43.641770,2023/2024
2024-01-30,23.279608,-1.600000,2.000000,11.639804,41.903294,2023/2024
2024-01-30,11.372562,-1.000000,1.000000,11.372562,40.941223,2023/2024
2024-01-30,36.827069,-1.200000,3.000000,12.275690,44.192483,2023/2024
2024-01-30,12.837944,-1.200000,1.000000,12.837944,46.216600,2023/2024
2024-01-30,12.940737,-2.600000,1.000000,12.940737,46.586653,2023/2024
2024-01-30,12.926520,-1.400000,1.000000,12.926520,46.535472,2023/2024
2024-01-30,13.363062,-1.800000,1.000000,13.363062,48.107024,2023/2024
2024-01-30,13.690577,-2.400000,1.000000,13.690577,49.286079,2023/2024
2024-01-30,14.291606,-3.200000,1.000000,14.291606,51.449782,2023/2024
2024-01-30,29.005989,-1.400000,2.000000,14.502995,52.210781,2023/2024
2024-01-30,14.987381,-1.800000,1.000000,14.987381,53.954570,2023/2024
2024-01-30,16.345930,-3.000000,1.000000,16.345930,58.845347,2023/2024
2024-01-30,17.538404,-5.000000,1.000000,17.538404,63.138256,2023/2024
2024-01-30,17.638444,-3.200000,1.000000,17.638444,63.498399,2023/2024
2024-01-30,15.343609,-1.000000,1.000000,15.343609,55.236992,2023/2024
2024-01-30,15.525837,-1.800000,1.000000,15.525837,55.893015,2023/2024
2024-01-30,17.133004,-3.400000,1.000000,17.133004,61.678815,2023/2024
2024-01-30,13.260891,-2.000000,1.000000,13.260891,47.739209,2023/2024
2024-01-30,22.372233,-5.600000,1.000000,22.372233,80.540039,2023/2024
2024-01-30,16.984828,-2.600000,1.000000,16.984828,61.145380,2023/2024
2024-01-30,15.844984,-1.400000,1.000000,15.844984,57.041941,2023/2024
2024-01-30,18.067541,-1.800000,1.000000,18.067541,65.043148,2023/2024
2024-01-30,18.425266,-1.600000,1.000000,18.425266,66.330956,2023/2024
2024-01-30,31.372764,-1.800000,2.000000,15.686382,56.470975,2023/2024
2024-01-30,15.933558,-2.400000,1.000000,15.933558,57.360809,2023/2024
2024-01-30,15.284431,-3.400000,1.000000,15.284431,55.023951,2023/2024
2024-01-30,16.896141,-2.000000,1.000000,16.896141,60.826107,2023/2024
2024-01-30,11.847317,-2.800000,1.000000,11.847317,42.650340,2023/2024
2024-01-30,13.159454,-1.600000,1.000000,13.159454,47.374035,2023/2024
2024-01-30,13.804935,-2.800000,1.000000,13.804935,49.697766,2023/2024
2024-01-30,17.285908,-1.600000,1.000000,17.285908,62.229268,2023/2024
2024-01-30,12.626986,-3.000000,1.000000,12.626986,45.457150,2023/2024
2024-01-30,19.100466,-1.400000,1.000000,19.100466,68.761678,2023/2024
2024-01-30,16.309487,-2.600000,1.000000,16.309487,58.714154,2023/2024
2024-01-30,17.140093,-3.600000,1.000000,17.140093,61.704336,2023/2024
2024-01-30,16.636095,-1.600000,1.000000,16.636095,59.889943,2023/2024
2024-01-30,16.861139,-2.000000,1.000000,16.861139,60.700099,2023/2024
2024-01-30,17.316273,-3.000000,1.000000,17.316273,62.338584,2023/2024
2024-01-30,16.344755,-2.800000,1.000000,16.344755,58.841118,2023/2024
2024-01-30,16.468027,-2.400000,1.000000,16.468027,59.284897,2023/2024
2024-01-30,17.790767,-4.200000,1.000000,17.790767,64.046763,2023/2024
2024-01-30,17.249336,-1.800000,1.000000,17.249336,62.097611,2023/2024
2024-01-30,17.306958,-4.600000,1.000000,17.306958,62.305049,2023/2024
2024-01-30,17.323864,-3.400000,1.000000,17.323864,62.365912,2023/2024
2024-01-30,16.210650,-2.000000,1.000000,16.210650,58.358339,2023/2024
2024-01-30,13.035711,-4.200000,1.000000,13.035711,46.928559,2023/2024
2024-01-30,18.163651,-1.200000,1.000000,18.163651,65.389145,2023/2024
2024-01-30,14.628759,-1.000000,1.000000,14.628759,52.663532,2023/2024
2024-01-30,15.252193,-1.800000,1.000000,15.252193,54.907894,2023/2024
2024-01-30,16.293384,-4.000000,1.000000,16.293384,58.656182,2023/2024
2024-01-30,15.878444,-1.400000,1.000000,15.878444,57.162398,2023/2024
2024-01-30,15.701939,-1.200000,1.000000,15.701939,56.526979,2023/2024
2024-01-30,15.742938,-2.400000,1.000000,15.742938,56.674578,2023/2024
2024-01-30,17.178559,-5.800000,1.000000,17.178559,61.842813,2023/2024
2024-01-30,15.355555,-1.600000,1.000000,15.355555,55.279998,2023/2024
