Date,Entfernung [m],Höhenunterschied [m],Zeit [s],Geschwindigkeit [m/s],Geschwindigkeit [km/h],Saison
2024-03-03,7.487742,-2.200000,1.000000,7.487742,26.955872,2023/2024
2024-03-03,7.501647,-1.200000,1.000000,7.501647,27.005930,2023/2024
2024-03-03,9.343352,-3.800000,1.000000,9.343352,33.636066,2023/2024
2024-03-03,10.555409,-4.200000,1.000000,10.555409,37.999472,2023/2024
2024-03-03,11.421444,-3.800000,1.000000,11.421444,41.117198,2023/2024
2024-03-03,12.677027,-2.000000,1.000000,12.677027,45.637296,2023/2024
2024-03-03,10.160958,-2.800000,1.000000,10.160958,36.579449,2023/2024
2024-03-03,8.994099,-2.800000,1.000000,8.994099,32.378758,2023/2024
2024-03-03,11.974305,-4.600000,1.000000,11.974305,43.107499,2023/2024
2024-03-03,11.283195,-2.600000,1.000000,11.283195,40.619502,2023/2024
2024-03-03,12.145922,-4.600000,1.000000,12.145922,43.725319,2023/2024
2024-03-03,11.947849,-3.800000,1.000000,11.947849,43.012255,2023/2024
2024-03-03,12.007706,-3.600000,1.000000,12.007706,43.227742,2023/2024
2024-03-03,12.320251,-2.200000,1.000000,12.320251,44.352903,2023/2024
2024-03-03,12.053007,-3.200000,1.000000,12.053007,43.390827,2023/2024
2024-03-03,12.056726,-3.600000,1.000000,12.056726,43.404213,2023/2024
2024-03-03,13.971609,-3.000000,1.000000,13.971609,50.297791,2023/2024
2024-03-03,9.405253,-2.600000,1.000000,9.405253,33.858910,2023/2024
2024-03-03,13.288929,-3.800000,1.000000,13.288929,47.840145,2023/2024
2024-03-03,8.649302,-2.400000,1.000000,8.649302,31.137488,2023/2024
2024-03-03,12.309316,-2.200000,1.000000,12.309316,44.313539,2023/2024
2024-03-03,8.281467,-1.800000,1.000000,8.281467,29.813282,2023/2024
2024-03-03,11.784100,-3.600000,1.000000,11.784100,42.422761,2023/2024
2024-03-03,9.271550,-2.800000,1.000000,9.271550,33.377579,2023/2024
2024-03-03,7.536064,-2.400000,1.000000,7.536064,27.129832,2023/2024
2024-03-03,9.301919,-2.200000,1.000000,9.301919,33.486908,2023/2024
2024-03-03,9.520552,-3.600000,1.000000,9.520552,34.273988,2023/2024
2024-03-03,9.615343,-2.000000,1.000000,9.615343,34.615233,2023/2024
2024-03-03,12.065293,-3.800000,1.000000,12.065293,43.435053,2023/2024
2024-03-03,9.015145,-3.800000,1.000000,9.015145,32.454521,2023/2024
2024-03-03,13.185620,-4.800000,1.000000,13.185620,47.468234,2023/2024
2024-03-03,11.173985,-4.000000,1.000000,11.173985,40.226348,2023/2024
2024-03-03,9.484064,-4.400000,1.000000,9.484064,34.142632,2023/2024
2024-03-03,12.368536,-2.200000,1.000000,12.368536,44.526731,2023/2024
2024-03-03,9.749437,-1.800000,1.000000,9.749437,35.097974,2023/2024
2024-03-03,10.788151,-3.800000,1.000000,10.788151,38.837342,2023/2024
