Entfernung [m],Höhenunterschied [m],Zeit [s],Geschwindigkeit [m/s],Geschwindigkeit [km/h]
7.929910,-2.600000,1.000000,7.929910,28.547677
8.228288,-3.800000,1.000000,8.228288,29.621837
7.297028,-2.600000,1.000000,7.297028,26.269299
7.428051,-3.200000,1.000000,7.428051,26.740984
7.682037,-2.200000,1.000000,7.682037,27.655333
5.048334,-2.600000,1.000000,5.048334,18.174003
5.255625,-1.400000,1.000000,5.255625,18.920251
6.458158,-1.800000,1.000000,6.458158,23.249369
7.278163,-1.000000,1.000000,7.278163,26.201385
4.722470,-1.000000,1.000000,4.722470,17.000894
4.755898,-1.400000,1.000000,4.755898,17.121232
18.444552,-2.000000,2.000000,9.222276,33.200193
6.313354,-1.600000,1.000000,6.313354,22.728073
6.156225,-0.800000,1.000000,6.156225,22.162411
6.390095,-0.600000,1.000000,6.390095,23.004344
6.656291,-0.800000,1.000000,6.656291,23.962647
6.535778,-0.200000,1.000000,6.535778,23.528801
4.373160,-0.600000,1.000000,4.373160,15.743375
2.943742,-0.600000,1.000000,2.943742,10.597471
1.567146,-0.800000,1.000000,1.567146,5.641726
1.293990,-1.200000,1.000000,1.293990,4.658363
2.004387,-0.200000,6.000000,0.334064,1.202632
9.712149,-1.400000,3.000000,3.237383,11.654579
10.782775,-3.800000,2.000000,5.391388,19.408995
6.876478,-2.800000,1.000000,6.876478,24.755320
6.593494,-2.400000,1.000000,6.593494,23.736578
6.664071,-1.800000,1.000000,6.664071,23.990655
7.465797,-1.600000,1.000000,7.465797,26.876871
10.183747,-0.800000,2.000000,5.091874,18.330745
12.070468,-0.600000,2.000000,6.035234,21.726843
6.759039,-0.600000,1.000000,6.759039,24.332539
8.510873,-0.600000,1.000000,8.510873,30.639142
6.294882,-0.600000,1.000000,6.294882,22.661574
8.354042,-2.000000,1.000000,8.354042,30.074550
9.479452,-1.400000,1.000000,9.479452,34.126026
7.996156,-2.600000,1.000000,7.996156,28.786161
6.403455,-1.400000,1.000000,6.403455,23.052439
17.667574,-3.000000,2.000000,8.833787,31.801633
6.511552,-1.000000,1.000000,6.511552,23.441585
8.359917,-1.400000,1.000000,8.359917,30.095703
9.961568,-1.600000,1.000000,9.961568,35.861646
13.768459,-2.000000,2.000000,6.884229,24.783226
8.129629,-1.800000,1.000000,8.129629,29.266664
5.542769,-1.400000,1.000000,5.542769,19.953968
7.185354,-1.200000,1.000000,7.185354,25.867275
1.200000,-1.200000,1.000000,1.200000,4.320000
15.316760,-3.200000,1.000000,15.316760,55.140335
7.591656,-1.600000,1.000000,7.591656,27.329963
9.180306,-4.400000,1.000000,9.180306,33.049102
8.702834,-1.400000,1.000000,8.702834,31.330204
9.402036,-2.400000,1.000000,9.402036,33.847331
9.279398,-3.800000,1.000000,9.279398,33.405833
8.935626,-4.000000,1.000000,8.935626,32.168254
8.647925,-2.200000,1.000000,8.647925,31.132529
9.322773,-4.400000,1.000000,9.322773,33.561982
7.448005,-3.400000,1.000000,7.448005,26.812817
10.728871,-3.800000,1.000000,10.728871,38.623935
7.453303,-3.400000,1.000000,7.453303,26.831890
9.455521,-2.400000,1.000000,9.455521,34.039874
9.346855,-3.000000,1.000000,9.346855,33.648678
7.927025,-3.000000,1.000000,7.927025,28.537292
6.959028,-3.000000,1.000000,6.959028,25.052500
8.547644,-3.200000,1.000000,8.547644,30.771519
8.826736,-2.600000,1.000000,8.826736,31.776250
8.756780,-2.200000,1.000000,8.756780,31.524407
9.439486,-3.400000,1.000000,9.439486,33.982148
9.083590,-1.200000,1.000000,9.083590,32.700923
10.044658,-3.400000,1.000000,10.044658,36.160769
10.736069,-4.200000,1.000000,10.736069,38.649848
9.847066,-2.400000,1.000000,9.847066,35.449439
9.419705,-1.200000,1.000000,9.419705,33.910938
17.871553,-1.600000,2.000000,8.935777,32.168796
8.004413,0.000000,1.000000,8.004413,28.815887
6.091986,-0.200000,1.000000,6.091986,21.931148
22.393022,-0.400000,3.000000,7.464341,26.871626
13.199190,-0.600000,2.000000,6.599595,23.758543
5.588462,-0.200000,1.000000,5.588462,20.118462
4.782256,-1.400000,2.000000,2.391128,8.608061
10.515202,-0.400000,3.000000,3.505067,12.618242
8.997992,0.000000,2.000000,4.498996,16.196385
9.298020,-1.800000,16.000000,0.581126,2.092054
9.550086,-3.200000,1.000000,9.550086,34.380310
12.297889,-4.400000,1.000000,12.297889,44.272402
13.080880,-3.200000,1.000000,13.080880,47.091169
9.660355,-2.200000,1.000000,9.660355,34.777278
13.366748,-2.000000,1.000000,13.366748,48.120293
20.141855,-2.600000,2.000000,10.070928,36.255339
8.808098,-2.600000,1.000000,8.808098,31.709154
8.377354,-2.400000,1.000000,8.377354,30.158473
8.165771,-3.200000,1.000000,8.165771,29.396776
12.332137,-3.000000,1.000000,12.332137,44.395694
11.804634,-2.400000,1.000000,11.804634,42.496683
12.360762,-3.800000,1.000000,12.360762,44.498745
13.020344,-2.800000,1.000000,13.020344,46.873237
14.874010,-4.800000,1.000000,14.874010,53.546437
14.314274,-3.800000,1.000000,14.314274,51.531385
13.708560,-2.400000,1.000000,13.708560,49.350815
13.886242,-4.600000,1.000000,13.886242,49.990471
13.826557,-2.200000,1.000000,13.826557,49.775606
14.892878,-3.000000,1.000000,14.892878,53.614360
14.779307,-2.000000,1.000000,14.779307,53.205504
15.977526,-2.200000,1.000000,15.977526,57.519092
13.205178,-2.800000,1.000000,13.205178,47.538642
18.963252,-6.400000,1.000000,18.963252,68.267705
15.957805,-2.800000,1.000000,15.957805,57.448098
16.699848,-2.200000,1.000000,16.699848,60.119451
16.804204,-4.000000,1.000000,16.804204,60.495135
16.084351,-1.800000,1.000000,16.084351,57.903665
15.011217,-2.600000,1.000000,15.011217,54.040382
13.735988,-3.200000,1.000000,13.735988,49.449556
5.829929,-3.200000,1.000000,5.829929,20.987745
7.870550,-1.200000,1.000000,7.870550,28.333981
6.590252,-0.200000,4.000000,1.647563,5.931227
