Date,Entfernung [m],Höhenunterschied [m],Zeit [s],Geschwindigkeit [m/s],Geschwindigkeit [km/h],Saison
2024-03-02,4.591746,-0.200000,1.000000,4.591746,16.530285,2023/2024
2024-03-02,13.896497,-1.200000,3.000000,4.632166,16.675796,2023/2024
2024-03-02,22.730587,-0.600000,5.000000,4.546117,16.366023,2023/2024
2024-03-02,26.642855,-0.600000,6.000000,4.440476,15.985713,2023/2024
2024-03-02,18.511404,0.600000,4.000000,4.627851,16.660264,2023/2024
2024-03-02,14.546229,0.600000,3.000000,4.848743,17.455474,2023/2024
2024-03-02,3.475097,0.000000,1.000000,3.475097,12.510348,2023/2024
2024-03-02,44.296855,1.400000,10.000000,4.429686,15.946868,2023/2024
2024-03-02,0.400000,-0.400000,11.000000,0.036364,0.130909,2023/2024
2024-03-02,0.000000,0.000000,29.000000,0.000000,0.000000,2023/2024
2024-03-02,0.000000,0.000000,7.000000,0.000000,0.000000,2023/2024
2024-03-02,56.720202,0.000000,2.000000,28.360101,102.096364,2023/2024
2024-03-02,3.244694,-0.400000,2.000000,1.622347,5.840450,2023/2024
2024-03-02,8.492889,-0.200000,2.000000,4.246445,15.287201,2023/2024
2024-03-02,8.381248,-0.200000,1.000000,8.381248,30.172493,2023/2024
2024-03-02,8.275963,-0.200000,2.000000,4.137981,14.896733,2023/2024
2024-03-02,8.381248,0.200000,4.000000,2.095312,7.543123,2023/2024
2024-03-02,8.275962,0.200000,96.000000,0.086208,0.310349,2023/2024
2024-03-02,8.388403,-0.400000,1.000000,8.388403,30.198252,2023/2024
2024-03-02,18.633269,-2.000000,3.000000,6.211090,22.359922,2023/2024
2024-03-02,12.118314,-1.800000,2.000000,6.059157,21.812966,2023/2024
2024-03-02,12.154010,-1.400000,2.000000,6.077005,21.877218,2023/2024
2024-03-02,5.855011,-0.600000,1.000000,5.855011,21.078040,2023/2024
2024-03-02,6.448706,-1.000000,1.000000,6.448706,23.215340,2023/2024
2024-03-02,6.810913,-1.000000,1.000000,6.810913,24.519288,2023/2024
2024-03-02,13.123504,-1.000000,2.000000,6.561752,23.622307,2023/2024
2024-03-02,13.388382,-1.400000,2.000000,6.694191,24.099088,2023/2024
2024-03-02,14.660859,-0.800000,2.000000,7.330430,26.389547,2023/2024
2024-03-02,7.292072,-0.800000,1.000000,7.292072,26.251459,2023/2024
2024-03-02,14.444450,-1.200000,2.000000,7.222225,26.000010,2023/2024
2024-03-02,24.301430,-1.600000,3.000000,8.100477,29.161716,2023/2024
2024-03-02,9.028522,-0.600000,1.000000,9.028522,32.502680,2023/2024
2024-03-02,8.942122,-1.000000,1.000000,8.942122,32.191641,2023/2024
2024-03-02,8.810364,-1.200000,1.000000,8.810364,31.717312,2023/2024
2024-03-02,17.524435,-0.800000,2.000000,8.762217,31.543983,2023/2024
2024-03-02,9.145378,-0.400000,1.000000,9.145378,32.923361,2023/2024
2024-03-02,9.937747,-1.200000,1.000000,9.937747,35.775891,2023/2024
2024-03-02,10.597388,-1.000000,1.000000,10.597388,38.150597,2023/2024
2024-03-02,10.705597,-1.400000,1.000000,10.705597,38.540149,2023/2024
2024-03-02,11.029491,-1.200000,1.000000,11.029491,39.706167,2023/2024
2024-03-02,10.472345,-2.400000,1.000000,10.472345,37.700443,2023/2024
2024-03-02,9.752595,-0.600000,1.000000,9.752595,35.109341,2023/2024
2024-03-02,10.142933,-1.000000,1.000000,10.142933,36.514560,2023/2024
2024-03-02,11.169962,-4.400000,1.000000,11.169962,40.211864,2023/2024
2024-03-02,11.298798,-2.000000,1.000000,11.298798,40.675671,2023/2024
2024-03-02,15.058621,-0.800000,1.000000,15.058621,54.211036,2023/2024
2024-03-02,14.230051,-3.600000,1.000000,14.230051,51.228185,2023/2024
2024-03-02,16.115893,-6.000000,1.000000,16.115893,58.017214,2023/2024
2024-03-02,16.014506,-2.800000,1.000000,16.014506,57.652223,2023/2024
2024-03-02,13.032930,-2.800000,1.000000,13.032930,46.918547,2023/2024
2024-03-02,16.525835,-5.600000,1.000000,16.525835,59.493007,2023/2024
2024-03-02,15.287512,-2.600000,1.000000,15.287512,55.035044,2023/2024
2024-03-02,15.171967,-1.800000,1.000000,15.171967,54.619083,2023/2024
2024-03-02,14.166364,-1.600000,1.000000,14.166364,50.998912,2023/2024
2024-03-02,25.784557,-1.400000,2.000000,12.892279,46.412203,2023/2024
2024-03-02,12.175842,-0.600000,1.000000,12.175842,43.833030,2023/2024
2024-03-02,12.568412,-3.000000,1.000000,12.568412,45.246285,2023/2024
2024-03-02,13.472032,-2.600000,1.000000,13.472032,48.499316,2023/2024
2024-03-02,29.084870,-2.400000,2.000000,14.542435,52.352766,2023/2024
2024-03-02,16.053013,-3.200000,1.000000,16.053013,57.790848,2023/2024
2024-03-02,15.977766,-4.400000,1.000000,15.977766,57.519957,2023/2024
2024-03-02,14.820802,-1.600000,1.000000,14.820802,53.354887,2023/2024
2024-03-02,14.170688,-1.400000,1.000000,14.170688,51.014475,2023/2024
2024-03-02,14.085470,-3.000000,1.000000,14.085470,50.707690,2023/2024
2024-03-02,13.884746,-2.000000,1.000000,13.884746,49.985086,2023/2024
2024-03-02,13.470880,-1.000000,1.000000,13.470880,48.495170,2023/2024
2024-03-02,16.649339,-1.400000,1.000000,16.649339,59.937621,2023/2024
2024-03-02,12.726320,-5.000000,1.000000,12.726320,45.814750,2023/2024
2024-03-02,14.737581,-1.800000,1.000000,14.737581,53.055293,2023/2024
2024-03-02,13.772229,-1.600000,1.000000,13.772229,49.580026,2023/2024
2024-03-02,14.342308,-4.200000,1.000000,14.342308,51.632307,2023/2024
2024-03-02,13.803362,-1.200000,1.000000,13.803362,49.692102,2023/2024
2024-03-02,14.311266,-0.800000,1.000000,14.311266,51.520556,2023/2024
2024-03-02,14.440822,-0.800000,1.000000,14.440822,51.986959,2023/2024
2024-03-02,17.398767,-2.200000,1.000000,17.398767,62.635560,2023/2024
2024-03-02,15.947099,-5.800000,1.000000,15.947099,57.409556,2023/2024
2024-03-02,13.253167,-3.400000,1.000000,13.253167,47.711401,2023/2024
2024-03-02,19.595901,-1.200000,1.000000,19.595901,70.545243,2023/2024
2024-03-02,16.520930,-1.800000,1.000000,16.520930,59.475348,2023/2024
2024-03-02,17.851055,-6.600000,1.000000,17.851055,64.263797,2023/2024
2024-03-02,16.408508,-2.400000,1.000000,16.408508,59.070627,2023/2024
2024-03-02,14.416485,-1.000000,1.000000,14.416485,51.899346,2023/2024
2024-03-02,14.998289,-3.200000,1.000000,14.998289,53.993841,2023/2024
2024-03-02,12.205464,-2.800000,1.000000,12.205464,43.939672,2023/2024
2024-03-02,15.809673,-2.600000,1.000000,15.809673,56.914823,2023/2024
2024-03-02,15.052136,-1.800000,1.000000,15.052136,54.187689,2023/2024
2024-03-02,14.742264,-2.400000,1.000000,14.742264,53.072152,2023/2024
2024-03-02,15.689786,-5.600000,1.000000,15.689786,56.483229,2023/2024
2024-03-02,14.468321,-2.400000,1.000000,14.468321,52.085955,2023/2024
2024-03-02,27.560198,-1.600000,2.000000,13.780099,49.608356,2023/2024
2024-03-02,14.443044,-3.800000,1.000000,14.443044,51.994959,2023/2024
2024-03-02,14.945026,-3.400000,1.000000,14.945026,53.802092,2023/2024
2024-03-02,15.539086,-3.600000,1.000000,15.539086,55.940710,2023/2024
2024-03-02,16.043868,-2.400000,1.000000,16.043868,57.757925,2023/2024
2024-03-02,15.603509,-2.400000,1.000000,15.603509,56.172634,2023/2024
2024-03-02,17.615982,-8.000000,1.000000,17.615982,63.417535,2023/2024
2024-03-02,16.375204,-4.400000,1.000000,16.375204,58.950735,2023/2024
2024-03-02,16.781513,-2.400000,1.000000,16.781513,60.413448,2023/2024
2024-03-02,16.208376,-0.600000,1.000000,16.208376,58.350152,2023/2024
2024-03-02,17.843561,-8.400000,1.000000,17.843561,64.236819,2023/2024
2024-03-02,16.298069,-3.800000,1.000000,16.298069,58.673049,2023/2024
2024-03-02,15.778040,-4.800000,1.000000,15.778040,56.800944,2023/2024
2024-03-02,15.760263,-2.200000,1.000000,15.760263,56.736946,2023/2024
2024-03-02,15.876707,-1.400000,1.000000,15.876707,57.156145,2023/2024
2024-03-02,16.134687,-1.600000,1.000000,16.134687,58.084874,2023/2024
2024-03-02,21.342108,-7.600000,1.000000,21.342108,76.831589,2023/2024
2024-03-02,14.885100,-4.000000,1.000000,14.885100,53.586360,2023/2024
2024-03-02,18.394283,-1.800000,1.000000,18.394283,66.219417,2023/2024
2024-03-02,21.622601,-2.200000,1.000000,21.622601,77.841364,2023/2024
2024-03-02,18.236005,-4.800000,1.000000,18.236005,65.649619,2023/2024
2024-03-02,14.087523,-3.400000,1.000000,14.087523,50.715082,2023/2024
2024-03-02,17.053505,-5.000000,1.000000,17.053505,61.392618,2023/2024
2024-03-02,16.333464,-2.800000,1.000000,16.333464,58.800470,2023/2024
2024-03-02,16.632669,-5.000000,1.000000,16.632669,59.877608,2023/2024
2024-03-02,16.650671,-2.200000,1.000000,16.650671,59.942416,2023/2024
2024-03-02,12.233671,-8.800000,1.000000,12.233671,44.041217,2023/2024
2024-03-02,12.068294,-5.200000,1.000000,12.068294,43.445858,2023/2024
2024-03-02,10.042214,-1.400000,2.000000,5.021107,18.075985,2023/2024
2024-03-02,5.659033,-0.400000,2.000000,2.829516,10.186259,2023/2024
2024-03-02,2.327110,0.000000,2.000000,1.163555,4.188797,2023/2024
2024-03-02,2250.449291,744.000000,626.000000,3.594967,12.941881,2023/2024
2024-03-02,4.679663,-0.400000,1.000000,4.679663,16.846785,2023/2024
2024-03-02,9.692058,-0.400000,2.000000,4.846029,17.445705,2023/2024
2024-03-02,5.625829,-0.400000,1.000000,5.625829,20.252984,2023/2024
2024-03-02,5.362544,-0.800000,1.000000,5.362544,19.305160,2023/2024
2024-03-02,5.558517,-0.600000,1.000000,5.558517,20.010660,2023/2024
2024-03-02,8.851368,-1.000000,2.000000,4.425684,15.932463,2023/2024
2024-03-02,4.619289,-0.600000,1.000000,4.619289,16.629442,2023/2024
2024-03-02,6.262577,-0.800000,1.000000,6.262577,22.545276,2023/2024
2024-03-02,15.469055,-0.800000,2.000000,7.734528,27.844300,2023/2024
2024-03-02,9.441950,-1.200000,1.000000,9.441950,33.991019,2023/2024
2024-03-02,21.178492,-3.200000,2.000000,10.589246,38.121286,2023/2024
2024-03-02,22.995043,-2.000000,2.000000,11.497521,41.391077,2023/2024
2024-03-02,12.459704,-1.600000,1.000000,12.459704,44.854936,2023/2024
2024-03-02,13.000011,-2.200000,1.000000,13.000011,46.800038,2023/2024
2024-03-02,12.715175,-1.400000,1.000000,12.715175,45.774630,2023/2024
2024-03-02,15.665626,-2.600000,1.000000,15.665626,56.396252,2023/2024
2024-03-02,12.506932,-0.800000,1.000000,12.506932,45.024955,2023/2024
2024-03-02,10.150370,-1.400000,1.000000,10.150370,36.541331,2023/2024
2024-03-02,14.366912,-1.800000,1.000000,14.366912,51.720882,2023/2024
2024-03-02,24.397541,-1.000000,2.000000,12.198770,43.915574,2023/2024
2024-03-02,12.164153,-1.800000,1.000000,12.164153,43.790951,2023/2024
2024-03-02,13.450212,-2.200000,1.000000,13.450212,48.420765,2023/2024
2024-03-02,10.958264,-1.400000,1.000000,10.958264,39.449750,2023/2024
2024-03-02,18.420083,-5.200000,1.000000,18.420083,66.312298,2023/2024
2024-03-02,10.674795,-2.600000,1.000000,10.674795,38.429260,2023/2024
2024-03-02,10.533194,-1.200000,1.000000,10.533194,37.919497,2023/2024
2024-03-02,7.893372,-3.400000,1.000000,7.893372,28.416138,2023/2024
2024-03-02,3.514598,-2.200000,1.000000,3.514598,12.652551,2023/2024
2024-03-02,4.064013,-1.200000,1.000000,4.064013,14.630448,2023/2024
2024-03-02,14.745870,-0.600000,3.000000,4.915290,17.695044,2023/2024
2024-03-02,10.021746,-1.400000,1.000000,10.021746,36.078285,2023/2024
2024-03-02,10.974086,-1.600000,1.000000,10.974086,39.506711,2023/2024
2024-03-02,11.898469,-2.800000,1.000000,11.898469,42.834487,2023/2024
2024-03-02,9.714535,-2.000000,1.000000,9.714535,34.972328,2023/2024
2024-03-02,9.383581,-2.000000,1.000000,9.383581,33.780893,2023/2024
2024-03-02,12.849890,-6.000000,1.000000,12.849890,46.259603,2023/2024
2024-03-02,13.758721,-2.400000,1.000000,13.758721,49.531397,2023/2024
2024-03-02,12.839662,-7.200000,1.000000,12.839662,46.222784,2023/2024
2024-03-02,13.206084,-3.200000,1.000000,13.206084,47.541904,2023/2024
2024-03-02,12.586035,-4.400000,1.000000,12.586035,45.309725,2023/2024
2024-03-02,15.188093,-2.800000,1.000000,15.188093,54.677134,2023/2024
2024-03-02,11.608054,-3.000000,1.000000,11.608054,41.788994,2023/2024
2024-03-02,14.166938,-4.600000,1.000000,14.166938,51.000978,2023/2024
2024-03-02,14.641143,-3.000000,1.000000,14.641143,52.708113,2023/2024
2024-03-02,18.162047,-11.200000,1.000000,18.162047,65.383368,2023/2024
2024-03-02,14.733356,-3.000000,1.000000,14.733356,53.040081,2023/2024
2024-03-02,13.343593,-4.200000,1.000000,13.343593,48.036935,2023/2024
2024-03-02,13.100979,-3.000000,1.000000,13.100979,47.163524,2023/2024
2024-03-02,17.941260,-4.800000,1.000000,17.941260,64.588537,2023/2024
2024-03-02,12.449298,-4.800000,1.000000,12.449298,44.817474,2023/2024
2024-03-02,13.811119,-3.800000,1.000000,13.811119,49.720029,2023/2024
2024-03-02,16.571871,-9.000000,1.000000,16.571871,59.658736,2023/2024
2024-03-02,14.886613,-4.000000,1.000000,14.886613,53.591808,2023/2024
2024-03-02,12.628404,-2.600000,1.000000,12.628404,45.462255,2023/2024
2024-03-02,10.857315,-2.400000,1.000000,10.857315,39.086335,2023/2024
2024-03-02,11.753759,-3.400000,1.000000,11.753759,42.313534,2023/2024
2024-03-02,12.291400,-1.800000,1.000000,12.291400,44.249041,2023/2024
2024-03-02,11.750308,-2.400000,1.000000,11.750308,42.301108,2023/2024
2024-03-02,20.302558,-11.000000,1.000000,20.302558,73.089209,2023/2024
2024-03-02,15.170181,-4.000000,1.000000,15.170181,54.612651,2023/2024
2024-03-02,12.148005,-2.200000,1.000000,12.148005,43.732816,2023/2024
2024-03-02,9.402687,-3.200000,1.000000,9.402687,33.849672,2023/2024
2024-03-02,10.553077,-3.000000,1.000000,10.553077,37.991077,2023/2024
2024-03-02,13.772809,-5.000000,1.000000,13.772809,49.582113,2023/2024
2024-03-02,13.137153,-2.000000,1.000000,13.137153,47.293749,2023/2024
2024-03-02,16.400522,-10.200000,1.000000,16.400522,59.041878,2023/2024
2024-03-02,12.888913,-3.200000,1.000000,12.888913,46.400085,2023/2024
2024-03-02,16.003154,-7.000000,1.000000,16.003154,57.611353,2023/2024
2024-03-02,14.243868,-2.400000,1.000000,14.243868,51.277924,2023/2024
2024-03-02,14.391376,-4.600000,1.000000,14.391376,51.808954,2023/2024
2024-03-02,15.610779,-5.400000,1.000000,15.610779,56.198806,2023/2024
2024-03-02,19.389308,-4.800000,1.000000,19.389308,69.801509,2023/2024
2024-03-02,13.863079,-3.200000,1.000000,13.863079,49.907083,2023/2024
2024-03-02,17.326628,-5.600000,1.000000,17.326628,62.375860,2023/2024
2024-03-02,18.762569,-8.600000,1.000000,18.762569,67.545247,2023/2024
2024-03-02,20.335267,-6.800000,1.000000,20.335267,73.206960,2023/2024
2024-03-02,13.462542,-3.400000,1.000000,13.462542,48.465149,2023/2024
2024-03-02,17.036264,-3.600000,1.000000,17.036264,61.330550,2023/2024
2024-03-02,16.780256,-3.200000,1.000000,16.780256,60.408923,2023/2024
2024-03-02,16.795211,-3.800000,1.000000,16.795211,60.462760,2023/2024
2024-03-02,18.448715,-7.800000,1.000000,18.448715,66.415372,2023/2024
2024-03-02,16.898908,-3.400000,1.000000,16.898908,60.836069,2023/2024
2024-03-02,16.805865,-2.800000,1.000000,16.805865,60.501114,2023/2024
2024-03-02,21.783987,-2.800000,1.000000,21.783987,78.422352,2023/2024
2024-03-02,18.803511,-1.400000,1.000000,18.803511,67.692640,2023/2024
2024-03-02,15.152353,-6.000000,1.000000,15.152353,54.548470,2023/2024
2024-03-02,17.453576,-6.800000,1.000000,17.453576,62.832875,2023/2024
2024-03-02,17.713849,-4.400000,1.000000,17.713849,63.769857,2023/2024
2024-03-02,16.111353,-5.600000,1.000000,16.111353,58.000871,2023/2024
2024-03-02,12.557405,-3.000000,1.000000,12.557405,45.206658,2023/2024
2024-03-02,17.649142,-1.600000,1.000000,17.649142,63.536912,2023/2024
2024-03-02,11.042738,-1.200000,1.000000,11.042738,39.753857,2023/2024
2024-03-02,9.304215,-6.200000,1.000000,9.304215,33.495173,2023/2024
2024-03-02,6.093423,-4.400000,1.000000,6.093423,21.936322,2023/2024
2024-03-02,6.484964,-1.800000,1.000000,6.484964,23.345871,2023/2024
2024-03-02,16.081347,-2.000000,2.000000,8.040673,28.946424,2023/2024
2024-03-02,12.483825,-2.000000,1.000000,12.483825,44.941770,2023/2024
2024-03-02,15.604947,-1.600000,1.000000,15.604947,56.177808,2023/2024
2024-03-02,13.585164,-1.600000,1.000000,13.585164,48.906591,2023/2024
2024-03-02,14.748598,-5.200000,1.000000,14.748598,53.094952,2023/2024
2024-03-02,14.535482,-3.600000,1.000000,14.535482,52.327736,2023/2024
2024-03-02,10.826825,-1.200000,1.000000,10.826825,38.976569,2023/2024
2024-03-02,13.682396,-2.800000,1.000000,13.682396,49.256624,2023/2024
2024-03-02,14.271235,-3.800000,1.000000,14.271235,51.376448,2023/2024
2024-03-02,17.845266,-2.200000,1.000000,17.845266,64.242959,2023/2024
2024-03-02,10.870864,-1.000000,1.000000,10.870864,39.135109,2023/2024
2024-03-02,15.402596,-7.600000,1.000000,15.402596,55.449347,2023/2024
2024-03-02,17.772394,-3.000000,1.000000,17.772394,63.980619,2023/2024
2024-03-02,16.057704,-1.400000,1.000000,16.057704,57.807734,2023/2024
2024-03-02,11.101454,-2.000000,1.000000,11.101454,39.965233,2023/2024
2024-03-02,13.593623,-3.600000,1.000000,13.593623,48.937042,2023/2024
2024-03-02,13.053388,-4.600000,1.000000,13.053388,46.992198,2023/2024
2024-03-02,13.397405,-4.000000,1.000000,13.397405,48.230659,2023/2024
2024-03-02,12.864344,-2.800000,1.000000,12.864344,46.311637,2023/2024
2024-03-02,16.742212,-4.400000,1.000000,16.742212,60.271962,2023/2024
2024-03-02,12.103709,-1.600000,1.000000,12.103709,43.573352,2023/2024
2024-03-02,14.556528,-3.600000,1.000000,14.556528,52.403500,2023/2024
2024-03-02,12.738325,-7.200000,1.000000,12.738325,45.857970,2023/2024
2024-03-02,14.482429,-4.400000,1.000000,14.482429,52.136746,2023/2024
2024-03-02,17.880485,-3.800000,1.000000,17.880485,64.369745,2023/2024
2024-03-02,16.470462,-4.000000,1.000000,16.470462,59.293665,2023/2024
2024-03-02,14.703136,-2.000000,1.000000,14.703136,52.931288,2023/2024
2024-03-02,10.661792,-2.800000,1.000000,10.661792,38.382451,2023/2024
2024-03-02,12.389840,-3.600000,1.000000,12.389840,44.603424,2023/2024
