Date,Entfernung [m],Höhenunterschied [m],Zeit [s],Geschwindigkeit [m/s],Geschwindigkeit [km/h],Saison
2024-03-24,7.856254,-1.000000,2.000000,3.928127,14.141257,2023/2024
2024-03-24,13.149876,-1.200000,2.000000,6.574938,23.669777,2023/2024
2024-03-24,13.071099,-1.400000,2.000000,6.535549,23.527978,2023/2024
2024-03-24,6.873350,-0.400000,1.000000,6.873350,24.744061,2023/2024
2024-03-24,7.158393,-0.800000,1.000000,7.158393,25.770215,2023/2024
2024-03-24,25.539997,-1.400000,3.000000,8.513332,30.647997,2023/2024
2024-03-24,8.147539,-0.800000,1.000000,8.147539,29.331140,2023/2024
2024-03-24,2.915945,-0.600000,1.000000,2.915945,10.497401,2023/2024
2024-03-24,15.811262,-1.400000,2.000000,7.905631,28.460272,2023/2024
2024-03-24,7.735839,-1.000000,1.000000,7.735839,27.849021,2023/2024
2024-03-24,21.783449,-1.000000,3.000000,7.261150,26.140139,2023/2024
2024-03-24,6.638047,-0.400000,1.000000,6.638047,23.896969,2023/2024
2024-03-24,19.533783,-1.200000,3.000000,6.511261,23.440539,2023/2024
2024-03-24,10.624854,-1.400000,2.000000,5.312427,19.124737,2023/2024
2024-03-24,12.620513,-1.000000,2.000000,6.310257,22.716924,2023/2024
2024-03-24,14.354373,-1.600000,2.000000,7.177187,25.837872,2023/2024
2024-03-24,5.680513,-0.200000,1.000000,5.680513,20.449848,2023/2024
2024-03-24,15.328225,-1.400000,2.000000,7.664112,27.590804,2023/2024
2024-03-24,16.920216,-1.200000,2.000000,8.460108,30.456388,2023/2024
2024-03-24,8.295984,-1.400000,1.000000,8.295984,29.865543,2023/2024
2024-03-24,9.402713,-1.000000,1.000000,9.402713,33.849766,2023/2024
2024-03-24,8.155004,-1.000000,1.000000,8.155004,29.358015,2023/2024
2024-03-24,12.179211,-1.200000,1.000000,12.179211,43.845161,2023/2024
2024-03-24,10.643296,-2.400000,1.000000,10.643296,38.315867,2023/2024
2024-03-24,10.588803,-1.600000,1.000000,10.588803,38.119690,2023/2024
2024-03-24,8.579930,-1.800000,1.000000,8.579930,30.887750,2023/2024
2024-03-24,12.850420,-2.000000,1.000000,12.850420,46.261511,2023/2024
2024-03-24,11.446846,-1.400000,1.000000,11.446846,41.208646,2023/2024
2024-03-24,12.651082,-2.000000,1.000000,12.651082,45.543894,2023/2024
2024-03-24,14.930711,-4.800000,1.000000,14.930711,53.750558,2023/2024
2024-03-24,14.374016,-3.000000,1.000000,14.374016,51.746459,2023/2024
2024-03-24,16.233638,-5.000000,1.000000,16.233638,58.441098,2023/2024
2024-03-24,15.776066,-1.800000,1.000000,15.776066,56.793838,2023/2024
2024-03-24,16.092945,-5.000000,1.000000,16.092945,57.934601,2023/2024
