Code,Label,Longitude,Latitude
PUZ2,Ils Plauns,8.8624548373,46.6263513736
FUL1,Grand Chavalard,7.1130347864,46.1786788154
ANV3,Tracuit,7.6564012963,46.121164226
ARO2,Les Fontanesses,7.4458545197,46.0287818566
VLS1,Piz Aul,9.1250666847,46.6228004828
SCH1,Schilthorn,7.8352019342,46.5573127411
SAA4,Gibidum,7.9055305441,46.1244668489
CAM1,Tremorgio,8.7003813654,46.4826950381
MLB2,Bärgtälli,9.6117701433,47.088468281
STH1,Stockhorn,7.538570697,46.6938628906
DIA2,Tsanfleuron,7.241038066,46.3154043248
TUM1,Piz Tumpiv,8.9922687513,46.7849760464
ANV2,Orzival,7.5353719326,46.1882770501
ENG2,Fitteren,9.1894476808,46.992781719
JAU2,Fochsen,7.274541453,46.6330485439
VDS1,Crêta Besse,7.3522749518,46.3051908681
STH2,Vorderstocken,7.5196488888,46.6820486806
CSL2,Col du Chasseral,7.0313366437,47.1163154815
ALI2,Chenau,6.9932975733,46.4886315485
CAM3,Solco,8.7088833554,46.4875754979
PUZ1,La Muota,8.8568107945,46.6232728496
KLT3,"Ruoggis, Unter Stafel",8.96921,47.03062
BER3,Puoz Bass,9.9158896865,46.4409149517
LHO2,Russisprung,7.9437424189,46.5827908771
VRG3,Porcaresc,8.4749541898,46.2403989608
MUN2,Chiematte,7.9252033983,46.3330676419
LAG2,Tscheppa,9.7445797657,46.4513573465
WAS2,Teststation Rienzenstock,8.625968,46.684788
ALI1,Vanil des Artses,6.9872816394,46.4822477344
BOV1,Pointe de Boveire,7.2398808481,45.9945210176
BEV2,Valetta,9.8370901184,46.5395638312
LUM3,Lumpegna Nord,8.86257,46.73228
ARO3,Bréona,7.5620595173,46.0874200118
ELM1,Mittler Blistock,9.1205691901,46.9314712074
DAV4,Frauentobel,9.7847022813,46.7841942807
MES2,Pian Grand,9.1602965296,46.4140106135
GRA1,Jumelles,6.8136286498,46.3522505663
GOS3,Gütsch,8.6069666032,46.656419602
GAD2,Gschletteregg,8.3974880425,46.7441889175
DAV1,Chrachenhorn,9.8143102025,46.688510327
DTR1,Costa,8.8660941256,46.5480673487
SPN1,Chesselhorn,8.0813786697,46.2182755158
LUK2,Lai Verd,8.783521203,46.6041530083
SCA3,Alpler Tor,8.7795393745,46.8915380517
MEI2,Laucheren,8.5510141702,46.7437676834
BOG2,Hendar Furggu,8.4716178803,46.3338031644
MUO2,Rupperslaui,8.7456210131,46.9382173093
FOU2,Glacier de l'Evole,7.067234126,45.9717551031
FIS2,Fisi,7.6738830911,46.4714646325
SIM1,Cima del Simano,8.971946227,46.4625100549
FIR2,Schmidigen-Bidmeren,8.0644030712,46.668776692
ENG1,Gulderstock,9.2015829672,46.993126583
ALB2,Teststation Albula,9.8362238704,46.5809452447
LAV1,Gonda Cotschna,10.1123281211,46.7843261822
BED4,Sabbioni,8.496417664,46.5256303769
LUK1,Piz Gannaretsch,8.7865471942,46.6119085207
