Entfernung [m],Höhenunterschied [m],Zeit [s],Geschwindigkeit [m/s],Geschwindigkeit [km/h]
13.888232,-2.400000,1.000000,13.888232,49.997635
870.533678,244.400000,364.000000,2.391576,8.609674
3.047256,-1.200000,1.000000,3.047256,10.970120
1.357539,-0.200000,1.000000,1.357539,4.887139
5.133072,-1.000000,1.000000,5.133072,18.479060
4.469629,-0.200000,1.000000,4.469629,16.090666
4.341552,-0.400000,4.000000,1.085388,3.907397
5.270442,-2.800000,9.000000,0.585605,2.108177
4.850675,-2.200000,1.000000,4.850675,17.462430
3.367890,-1.400000,1.000000,3.367890,12.124405
1.489320,-0.400000,1.000000,1.489320,5.361552
2.631742,-0.600000,1.000000,2.631742,9.474270
4.197906,-0.800000,1.000000,4.197906,15.112463
5.855490,-0.600000,1.000000,5.855490,21.079764
7.019551,-1.000000,1.000000,7.019551,25.270384
7.476306,-1.200000,1.000000,7.476306,26.914701
8.575617,-2.800000,1.000000,8.575617,30.872221
9.522877,-3.600000,1.000000,9.522877,34.282358
15.493820,-2.600000,2.000000,7.746910,27.888876
7.494301,-4.400000,1.000000,7.494301,26.979484
7.081825,-1.400000,1.000000,7.081825,25.494571
7.010456,-1.800000,1.000000,7.010456,25.237642
7.518023,-1.200000,1.000000,7.518023,27.064882
7.397571,-1.800000,1.000000,7.397571,26.631257
5.801516,-1.000000,1.000000,5.801516,20.885459
6.416367,-3.200000,1.000000,6.416367,23.098921
5.961261,-2.600000,1.000000,5.961261,21.460541
5.381885,-1.200000,1.000000,5.381885,19.374788
8.470577,-2.400000,1.000000,8.470577,30.494077
7.648274,-1.000000,1.000000,7.648274,27.533787
10.653648,-0.600000,2.000000,5.326824,19.176567
3.871266,-2.000000,1.000000,3.871266,13.936557
2.418045,-0.400000,1.000000,2.418045,8.704961
4.071732,-1.000000,2.000000,2.035866,7.329118
4.285500,0.000000,1.000000,4.285500,15.427799
4.291635,-0.600000,5.000000,0.858327,3.089977
4.319023,0.000000,1.000000,4.319023,15.548482
4.679096,-1.800000,20.000000,0.233955,0.842237
4.327289,-0.600000,1.000000,4.327289,15.578242
6.070123,-0.600000,1.000000,6.070123,21.852441
14.421316,-1.400000,2.000000,7.210658,25.958369
7.607677,-0.400000,1.000000,7.607677,27.387637
10.507602,-1.800000,1.000000,10.507602,37.827367
13.884808,-1.800000,1.000000,13.884808,49.985307
14.058156,-3.400000,1.000000,14.058156,50.609361
8.498505,-1.200000,1.000000,8.498505,30.594617
10.328437,-1.200000,1.000000,10.328437,37.182373
12.719069,-0.800000,1.000000,12.719069,45.788647
9.210849,-0.600000,1.000000,9.210849,33.159056
10.845878,-1.400000,1.000000,10.845878,39.045162
12.024429,-3.200000,1.000000,12.024429,43.287943
10.518444,-2.600000,1.000000,10.518444,37.866397
13.023888,-2.000000,1.000000,13.023888,46.885996
16.862179,-1.600000,1.000000,16.862179,60.703846
11.407306,-2.200000,1.000000,11.407306,41.066301
8.656280,-1.200000,1.000000,8.656280,31.162608
13.204573,-1.000000,2.000000,6.602286,23.768231
4.775736,-1.000000,1.000000,4.775736,17.192648
3.616830,-1.600000,1.000000,3.616830,13.020588
5.214982,-0.800000,2.000000,2.607491,9.386967
4.151788,-0.200000,1.000000,4.151788,14.946437
4.105059,0.000000,3.000000,1.368353,4.926071
4.146964,0.000000,3.000000,1.382321,4.976357
5.003728,-2.800000,14.000000,0.357409,1.286673
4.566341,-2.000000,1.000000,4.566341,16.438826
8.374127,-2.800000,1.000000,8.374127,30.146856
5.396650,-1.400000,1.000000,5.396650,19.427939
5.751356,-2.400000,1.000000,5.751356,20.704881
10.563112,-2.200000,1.000000,10.563112,38.027204
6.139478,-1.400000,1.000000,6.139478,22.102120
10.845190,-5.400000,1.000000,10.845190,39.042686
7.126018,-1.200000,1.000000,7.126018,25.653664
13.722298,-4.200000,2.000000,6.861149,24.700136
7.385829,-1.400000,1.000000,7.385829,26.588985
6.739209,-3.000000,1.000000,6.739209,24.261154
5.651980,-1.800000,1.000000,5.651980,20.347128
6.018506,-1.800000,1.000000,6.018506,21.666622
6.190994,-1.200000,1.000000,6.190994,22.287578
12.347494,-0.600000,2.000000,6.173747,22.225489
6.802148,-1.600000,1.000000,6.802148,24.487732
6.738389,-0.800000,1.000000,6.738389,24.258199
6.883914,-0.400000,1.000000,6.883914,24.782090
4.715971,-0.400000,1.000000,4.715971,16.977495
4.050344,-1.000000,1.000000,4.050344,14.581240
4.248019,-1.000000,1.000000,4.248019,15.292867
3.654358,-0.200000,1.000000,3.654358,13.155688
5.682541,0.000000,1.000000,5.682541,20.457147
6.922002,-3.000000,1.000000,6.922002,24.919208
6.907994,-0.800000,1.000000,6.907994,24.868777
5.450656,-0.600000,1.000000,5.450656,19.622361
8.004688,-1.800000,1.000000,8.004688,28.816877
8.068355,-1.400000,1.000000,8.068355,29.046078
8.271449,-2.400000,1.000000,8.271449,29.777215
5.774793,-2.200000,1.000000,5.774793,20.789253
3.365170,-1.600000,1.000000,3.365170,12.114612
2.814162,-2.600000,1.000000,2.814162,10.130983
1.688127,-1.200000,2.000000,0.844064,3.038629
1.914755,0.000000,4.000000,0.478689,1.723280
6.833590,-0.800000,2.000000,3.416795,12.300463
6.177716,-0.400000,1.000000,6.177716,22.239778
11.728838,-3.000000,2.000000,5.864419,21.111909
7.496342,-0.800000,1.000000,7.496342,26.986830
5.060756,-0.600000,1.000000,5.060756,18.218721
3.843150,-2.800000,1.000000,3.843150,13.835339
11.200424,-1.200000,2.000000,5.600212,20.160763
9.561646,0.000000,1.000000,9.561646,34.421926
9.561645,0.000000,4.000000,2.390411,8.605481
9.594509,-1.000000,37.000000,0.259311,0.933520
9.729596,-1.800000,1.000000,9.729596,35.026544
12.640595,-2.600000,1.000000,12.640595,45.506142
13.027430,-2.400000,1.000000,13.027430,46.898748
14.067824,-4.600000,1.000000,14.067824,50.644167
14.099947,-2.600000,1.000000,14.099947,50.759808
11.767930,-3.400000,1.000000,11.767930,42.364548
14.088780,-1.800000,1.000000,14.088780,50.719607
17.119826,-2.000000,1.000000,17.119826,61.631375
13.820345,-2.400000,1.000000,13.820345,49.753241
13.691446,-1.200000,1.000000,13.691446,49.289207
20.891218,-1.200000,2.000000,10.445609,37.604193
12.628986,0.000000,1.000000,12.628986,45.464350
10.009039,-0.200000,1.000000,10.009039,36.032541
8.319423,-0.800000,1.000000,8.319423,29.949922
11.096618,-1.800000,1.000000,11.096618,39.947823
11.132207,-1.000000,1.000000,11.132207,40.075947
11.178022,-1.800000,1.000000,11.178022,40.240881
10.994552,-1.000000,1.000000,10.994552,39.580388
10.990240,-2.000000,1.000000,10.990240,39.564864
11.061473,-2.000000,1.000000,11.061473,39.821303
10.611092,-1.200000,1.000000,10.611092,38.199930
16.183336,-1.200000,2.000000,8.091668,29.130006
8.593671,-0.600000,1.000000,8.593671,30.937215
6.256880,-1.400000,1.000000,6.256880,22.524769
5.832200,-1.800000,1.000000,5.832200,20.995920
5.946825,-2.400000,1.000000,5.946825,21.408568
5.706547,-1.600000,1.000000,5.706547,20.543568
5.737669,-1.600000,1.000000,5.737669,20.655610
5.499516,-0.800000,1.000000,5.499516,19.798259
6.329741,-2.400000,1.000000,6.329741,22.787066
13.131238,-3.000000,2.000000,6.565619,23.636228
7.130808,-2.400000,1.000000,7.130808,25.670910
7.221994,-1.600000,1.000000,7.221994,25.999178
8.748450,-3.200000,1.000000,8.748450,31.494419
8.473443,-1.600000,1.000000,8.473443,30.504393
8.694946,-1.400000,1.000000,8.694946,31.301804
9.265632,-2.000000,1.000000,9.265632,33.356276
9.423824,-2.400000,1.000000,9.423824,33.925768
16.560288,-1.600000,2.000000,8.280144,29.808518
8.594079,-1.000000,1.000000,8.594079,30.938683
8.419782,-1.800000,1.000000,8.419782,30.311214
8.997351,-2.600000,1.000000,8.997351,32.390463
9.721660,-1.000000,1.000000,9.721660,34.997976
10.143300,-1.200000,1.000000,10.143300,36.515879
10.720498,-2.200000,1.000000,10.720498,38.593794
20.666971,-2.800000,2.000000,10.333485,37.200548
10.589906,-1.000000,1.000000,10.589906,38.123660
9.585333,-1.000000,1.000000,9.585333,34.507197
13.246556,-4.400000,1.000000,13.246556,47.687601
14.425540,-1.400000,1.000000,14.425540,51.931943
15.140343,-2.600000,1.000000,15.140343,54.505233
11.170087,-4.800000,1.000000,11.170087,40.212315
6.520632,-1.400000,1.000000,6.520632,23.474274
7.420113,-0.400000,2.000000,3.710056,13.356203
2.281689,0.000000,1.000000,2.281689,8.214081
2.872452,0.800000,3.000000,0.957484,3.446942
3.598425,-0.400000,6.000000,0.599738,2.159055
1.299679,0.000000,1.000000,1.299679,4.678846
7.897288,0.200000,6.000000,1.316215,4.738373
1.358567,0.200000,5.000000,0.271713,0.978168
0.000000,0.000000,1.000000,0.000000,0.000000
879.076298,258.800000,314.000000,2.799606,10.078582
8.833028,-1.200000,1.000000,8.833028,31.798899
9.898628,-3.600000,1.000000,9.898628,35.635062
9.738842,-2.600000,1.000000,9.738842,35.059830
10.074189,-3.000000,1.000000,10.074189,36.267080
9.072006,-1.400000,1.000000,9.072006,32.659223
7.914443,-1.600000,1.000000,7.914443,28.491996
8.826870,-5.200000,1.000000,8.826870,31.776732
13.108289,-2.000000,2.000000,6.554144,23.594920
5.766773,-2.000000,1.000000,5.766773,20.760383
6.436312,-2.800000,1.000000,6.436312,23.170724
6.086053,-1.600000,1.000000,6.086053,21.909792
5.277615,-1.200000,1.000000,5.277615,18.999412
5.500557,-1.200000,1.000000,5.500557,19.802006
3.425684,-1.000000,1.000000,3.425684,12.332464
2.245044,-1.000000,1.000000,2.245044,8.082160
4.172959,-0.600000,1.000000,4.172959,15.022653
4.380108,-0.400000,1.000000,4.380108,15.768389
4.424488,-0.400000,3.000000,1.474829,5.309386
4.366384,-0.200000,1.000000,4.366384,15.718983
5.818596,-3.800000,19.000000,0.306242,1.102471
4.523856,-1.200000,1.000000,4.523856,16.285882
5.768901,-0.800000,1.000000,5.768901,20.768043
5.316402,-0.800000,1.000000,5.316402,19.139047
7.825805,-4.400000,1.000000,7.825805,28.172898
7.065805,-0.800000,1.000000,7.065805,25.436896
8.783294,-3.000000,1.000000,8.783294,31.619858
10.069294,-1.800000,1.000000,10.069294,36.249459
11.609511,-1.800000,1.000000,11.609511,41.794238
