SCB2,Schönbüel,0101000020080800007DEEFFFF483944418A90FFFFC5053241,42
ZER1,Platthorn,010100002008080000EAFAFFFF1F034441F3D0FFFFF7C93041,20
SPN2,Ze Seewe,01010000200808000011FAFFFF6E3C44413F2B000004173141,117
TUJ3,Nual,010100002008080000C1E0FF7FBC984441B29DFFFFB0CE3141,4
FAE1,Albristhorn,01010000200808000085FDFFFFB9DD4341BAD8FFFF5E8A3141,88
RNZ2,Rienzenstock,01010000200808000099E3FF7FA68744413ACFFFFFE2DE3141,4
BED3,Cassinello,010100002008080000ECE8FF7F9078444169B0FFFF048A3141,272
KLT1,Wiggis,0101000020080800002EFBFFFF87C1444138E0FFFFDC853241,283
ZER2,Triftchumme,0101000020080800000CEFFFFFC8014441DDF5FFFFF8C43041,20
BER2,Motta Bianca,010100002008080000DCC6FF7F085B45410B190000F8753141,77
MUN1,Gärsthorn,0101000020080800002FE4FFFF011E444186F1FFFF3C483141,159
NAS2,Schlivèra,01010000200808000030C9FFFFE37945416FCBFFFF7D233241,164
TAM1,Wildseehorn,0101000020080800006CE9FF7F97F944413A2C0000E15D3241,192
ELS2,Elsige,010100002008080000E8D5FF7F8BF44341F49CFFFF8C983141,222
BEV1,Cho d'Valetta,0101000020080800003ADFFFFFCF3F45416C380000F7AB3141,75
VAL1,Löita,0101000020080800007BFCFFFFB5854441C02E0000A1A33141,162
ELM2,Chüebodensee,01010000200808000087CFFF7F9FD24441CE8FFFFF3D4E3241,152
BED1,Lucendro,010100002008080000E80500000E784441CAA3FFFFBB9E3141,272
FNH2,L'Ecreuleuse,0101000020080800003EF1FF7F738E43412C020000B0DE3041,147
ELA1,Piz Salteras,010100002008080000CFF2FFFFD92945412B3D0000D9B83141,258
GOM3,Treichbode,01010000200808000051D5FF7F944C4441BF3B000018883141,296
CHA2,Pierres Fendues,0101000020080800000BD1FFFFD9AC4341E535000056563141,87
TAM2,Wildsee,01010000200808000099F8FF7F46F844415C97FFFF385E3241,192
VIN1,Piz Alpetta,0101000020080800004BF0FFFFD6954541BFE4FFFFFF563241,11
NEN1,Creppon Blanc,0101000020080800001BFAFF7F5AC9434133C2FFFFA9F03041,86
GAN1,Sackhorn,0101000020080800006AF7FF7F4C07444197B5FFFFA0713141,144
LAG3,Materdell,01010000200808000082FEFF7F4429454118ECFFFF9B743141,259
FAE2,Färmel,010100002008080000910500009CDE4341AAAAFFFF7C943141,218
BOV2,Pointe de Toules,01010000200808000045ECFF7FA2B743413FBBFFFFF8AB3041,261
VDS2,Donin du Jour,01010000200808000014D5FF7F6CCB4341132000001F3E3141,123
SAA1,Platthorn,010100002008080000E2FFFF7FE11544413A93FFFF12FB3041,179
MUO1,Wasserbergfirst,010100002008080000D2D4FFFF9D9E444147070000D94D3241,56
ELA3,Muot,0101000020080800005DE8FF7FEC324541691B0000B9C23141,258
OBW3,Mällige,01010000200808000075DAFF7F6A5F44415BA3FFFFA1903141,186
HTR1,Chilchalphorn,0101000020080800001A08000028D7444122360000B89F3141,168
KLO2,Madrisa,0101000020080800001C0100806D404541393F000085483241,59
ZNZ1,Sarsura Pitschen,01010000200808000013D2FFFF48544541B8070000C7F03141,78
SPN3,Wenghorn,0101000020080800007FF7FF7F9A314441D3ECFFFF80003141,146
TRU1,Schwarzhorn,0101000020080800006BE4FFFFF2E9434102A8FFFF09593141,156
YBR2,Wanne,010100002008080000D7D6FF7FFBA34441031D0000C7773241,56
OFE2,Murtaröl,01010000200808000024F1FF7F5C8045418A2200004CD43141,246
TUJ2,Culmatsch,0101000020080800005906008024964441C18EFFFF9BDE3141,4
URS2,Giltnasen,010100002008080000E204008012774441AD9AFFFF81B33141,137
PAR2,Kreuzweg,01010000200808000034ECFFFF89364541CFD9FFFFFA2E3241,60
BOG1,Martschenspitz,010100002008080000C6DFFF7FBF6F44419D0A00000B433141,7
FUS2,Alpe di Röd,0101000020080800007B05008084874441D9110000AE723141,295
SWM1,Schwarzmönch,0101000020080800003E0500805B1F44414304000061A23141,34
SAA2,Seetal,010100002008080000B50300009A184441A1C9FFFF7CFD3041,179
BOG3,Pizzo Bombögn,0101000020080800000AFAFFFF76744441A4AAFFFF97393141,7
